headlines,terms,dates,scores
diplomats told to drop unauthorised screening of visa requests,visa,2000-08-09,2
go-ahead for asylum hostel enrages village,asylum,2000-08-09,2
asylum seekers left out of class,asylum,2000-08-10,1
dear anna,border,2000-08-10,2
call for german baby boom to keep out migrants,migrant,2000-08-10,2
zimbabwe's snub to un,undocumented,2000-08-10,2
mr big at the even bigger bank,green,2000-08-12,2
un set to tackle britain on racism,undocumented,2000-08-13,2
asylum debate 'stokes racial tension',asylum,2000-08-14,2
what's the bard of barnsley doing in mexico city?,mexico,2000-08-15,2
greenhouse build-up worst for 20m years,green,2000-08-17,1
doomed benefit card cost £800m,card,2000-08-18,1
maid to order,border,2000-08-19,2
sweatshop v corporation,visa,2000-08-19,2
dynastic diamond billionaire dies in south africa,south,2000-08-20,2
un criticises government over race relations,undocumented,2000-08-23,2
ants misbehavin',migrant,2000-08-23,2
crush in south 'due to london exodus',south,2000-08-24,2
crush in south 'due to london exodus',south,2000-08-24,2
canada and us fend off mexican call for an open border,mexico,2000-08-26,3
canada and us fend off mexican call for an open border,border,2000-08-26,3
tide of refugees floods spanish beaches,refugee,2000-08-27,2
bungled un aid operation slows east timor's recovery,undocumented,2000-08-29,2
mp joins attack on visa appeal fee plan,visa,2000-08-29,2
ants show the way,migrant,2000-08-31,2
straw loses high court asylum case,asylum,2000-09-01,1
eurotunnel immigrants injured,migrant,2000-09-01,2
help - how do credit card companies calculate their interest charges?,card,2000-09-02,2
castro to add his voice to record-setting un summit,undocumented,2000-09-02,2
into the frying pan with dear patrick,border,2000-09-02,2
adam's eden,green,2000-09-03,2
skills shortage prompts immigration rethink,immigration,2000-09-04,2
skills shortage prompts immigration rethink,migrant,2000-09-04,2
cocaine smuggler challenges deportation as breach of human rights,deport,2000-09-05,2
"faster, higher, greener",green,2000-09-06,3
un workers killed in west timor,undocumented,2000-09-06,2
abortion issue stirs up mexican emotions,mexico,2000-09-06,2
un refugee staff killed in west timor,undocumented,2000-09-07,2
un refugee staff killed in west timor,refugee,2000-09-07,2
police free immigrants held by chinese gang,migrant,2000-09-08,2
minister opens up immigration debate,immigration,2000-09-11,3
minister opens up immigration debate,migrant,2000-09-11,3
un warns jakarta refugees could die,undocumented,2000-09-11,1
un warns jakarta refugees could die,refugee,2000-09-11,1
mountaineer's son fights to ban story of failed south pole trek,south,2000-09-12,2
unstoppable immigrants,migrant,2000-09-12,3
market forces to determine migration policy,immigration,2000-09-12,2
market forces to determine migration policy,migrant,2000-09-12,2
acknowledging germany's immigrant population,immigration,2000-09-13,2
acknowledging germany's immigrant population,migrant,2000-09-13,2
better deal for refugees demanded at tuc,refugee,2000-09-14,2
a nation waits,immigration,2000-09-14,2
de boer slates 'mean' smith,border,2000-09-15,2
de boer slates 'mean' smith,deport,2000-09-15,2
czechs face green blockade,green,2000-09-15,2
kingfisher refugee could be marks' man,refugee,2000-09-16,2
barclaycard tries out low-cost card,card,2000-09-17,1
barclaycard tries out low-cost card,card,2000-09-17,1
refugees forced back to face taliban as western aid dries up,refugee,2000-09-17,1
"two 'catholic' charities linked to nazis, says report",deport,2000-09-18,2
amnesty attacks labour record on asylum and arms trade curbs,asylum,2000-09-20,1
city says no to asylum seekers,asylum,2000-09-21,2
juan tomás de salas,border,2000-09-21,2
juan tomás de salas,deport,2000-09-21,2
protesters to face down money men,undocumented,2000-09-21,2
germany deports race hate victims,deport,2000-09-21,3
un appoints watchers as fear of milosevic poll-rigging grows,undocumented,2000-09-23,1
canada to deport paroled killer to uk,deport,2000-09-25,2
calexico,mexico,2000-09-27,2
five britons deported in crackdown on olympics ticket touts,deport,2000-09-27,2
asylum seekers' vouchers,asylum,2000-09-28,2
car makers race ahead of next crisis,card,2000-09-28,2
ministers agree voucher review,green,2000-09-28,2
new deal as cards fight for a place in the sun,card,2000-09-30,2
bordering on the ridiculous,border,2000-09-30,1
five-card trick,card,2000-09-30,2
mexico hit by 135mph winds,mexico,2000-10-02,2
nader's green machine strives to get up steam,green,2000-10-03,2
city with all eyes on yugoslavia,visa,2000-10-05,2
dead men walking,undocumented,2000-10-05,2
new mexican leader woos world opinion,mexico,2000-10-05,2
un draws fire for covert selection of top humanitarian official,undocumented,2000-10-05,2
deportation case goes to the lords,deport,2000-10-10,2
south korean president wins nobel peace prize,south,2000-10-13,2
plotting thickens in mexico's living soap,mexico,2000-10-13,1
south bank no show,south,2000-10-15,2
free credit card? it'll cost you,card,2000-10-15,2
jewel of yugoslavia eyes new freedoms,visa,2000-10-16,2
reuters puts greenhouse float on ice,green,2000-10-17,2
hague projects new look with talk of a nation of immigrants,immigration,2000-10-17,2
hague projects new look with talk of a nation of immigrants,migrant,2000-10-17,2
right out of order,border,2000-10-18,2
dear anna,border,2000-10-19,2
a green and pleasant land?,green,2000-10-21,2
dear mozzer,border,2000-10-21,2
refugees will be given help to find work,refugee,2000-10-22,2
law and disorder,border,2000-10-22,2
the unbeautiful south,south,2000-10-22,2
hiv father wins human rights asylum case,asylum,2000-10-25,2
"all illegal migrants out, says haider",migrant,2000-10-25,2
the anglo-australian south african,south,2000-10-26,2
broken victims of a nasty little war seek refuge in the swollen slums,refugee,2000-10-28,1
white stuff for boarders,border,2000-10-29,2
peace has a price for korean borderers,border,2000-10-30,3
man held in mexico in backpacker hunt,mexico,2000-10-31,2
gay man's asylum bid lost as persecution plea fails,asylum,2000-11-02,1
refugee doctors to help ease nhs staff crisis,refugee,2000-11-03,2
cross-border meeting sparks cross talk,border,2000-11-03,2
baroness ryder of warsaw,border,2000-11-03,2
don't even go there,green,2000-11-04,2
ebola spreads to south uganda,south,2000-11-04,2
wenger's men battling against bed bugs and big freeze,undocumented,2000-11-07,2
