headlines,terms,dates,scores
not the home office's job to fund documentaries,job,2008-08-04,1
red bull air race podcast: london 2008,race,2008-08-04,2
pain and pleasure for race one winner turvey at spa-francorchamps,race,2008-08-04,3
"if anyone can do the job, pietersen can",job,2008-08-04,2
cilla black returns with new dating show,black,2008-08-05,3
"french red, white and blue colour english-born harrison's olympic dream",white,2008-08-05,3
food: price-conscious shoppers stay off the black bean chipotle bread,black,2008-08-06,1
"today's recipe for tv hell: cilla black, nick knowles and alex james",black,2008-08-06,1
cilla black to present dating show loveland on revamped sky1,black,2008-08-06,2
is america ready for tyra banks in the white house?,white,2008-08-07,2
chaos and charm: how london's new mayor is shaping up in the job,job,2008-08-07,3
gambling: roulette machines pass horses in race for punters' stakes,race,2008-08-07,2
the white house's implausible deniability,white,2008-08-07,2
more than just a black candidate,black,2008-08-07,2
"electronic preview: black affair, on tour",black,2008-08-08,2
batho graduates to top job in scottish higher education funding,job,2008-08-08,3
mighty white,white,2008-08-08,2
arshavin hopes to whine his way to white hart lane,white,2008-08-08,2
"electronic review: late of the pier, fantasy black channel",black,2008-08-09,2
"young, gifted, black ... and leading america",black,2008-08-09,2
fortune favours durham in title race,race,2008-08-09,2
olympics: men's cycling road race,race,2008-08-09,2
olympics: sanchez clinches road race gold for spain,race,2008-08-09,3
counting down the hours until race time,race,2008-08-09,1
"isaac hayes, soul singer who defined black urban cool, dies at 65",black,2008-08-10,3
olympics: nicole cooke wins gold for great britain in road race thriller,race,2008-08-10,3
expert view: spanish sexy v basic black,black,2008-08-11,2
olympics: cavendish unlikely to race in individual pursuit,race,2008-08-11,2
amiel plays cleopatra in casting conrad black as dreyfus,black,2008-08-11,2
sheffield journalists fight job cuts,job,2008-08-11,2
ashley reveals newcastle's financial black hole,black,2008-08-12,1
who should get wogan's eurovision job?,job,2008-08-12,2
johnston press to close two scottish free papers amid job fears,job,2008-08-12,2
unemployment: what the analysts say,unemployment,2008-08-13,2
ainslie stays on top in race for sailing gold,race,2008-08-13,3
unemployment rise fastest since 1992,unemployment,2008-08-13,2
solange knowles: 'i want to be like the black björk',black,2008-08-14,2
us set for dramatic change as white america becomes minority by 2042,white,2008-08-14,2
minorities projected to outnumber white americans by 2042,white,2008-08-14,2
a-levels 2008: the race for the last places,race,2008-08-14,2
"olympics: cooke gold can boost british professional road-race cycling team, claims brailsford",race,2008-08-14,3
olympics: ainslie one race away from making golden sailing history,race,2008-08-15,2
game review: race driver: grid,race,2008-08-15,2
pain the only certainty as radcliffe lines up for race with marathon destiny,race,2008-08-15,1
painting the town black and white,black,2008-08-15,2
painting the town black and white,white,2008-08-15,2
spain's olympic race row: don't shoot the messenger,race,2008-08-15,2
central issues at heart of mounting all black pressure,black,2008-08-15,2
nhs age discrimination: your experiences,discrimination,2008-08-15,2
call for met's adviser on race cases to quit,race,2008-08-16,2
rethink on lads' mags shows voting value of white van man,white,2008-08-16,2
the race to be the fourth party matters more than you think,race,2008-08-16,2
olympics: ainslie hits out after dearth of wind forces medal race delay,race,2008-08-16,1
olympics: tears again for radcliffe but 2012 may not be a race too far,race,2008-08-17,1
david 'butch' white,white,2008-08-18,2
relaxin' and chillin' won't get you the dream job,job,2008-08-18,1
olympics: gb women eliminated from medal race,race,2008-08-18,2
"olympics: race plan went out of window, says ohuruogu",race,2008-08-19,3
fresh pressure on met chief blair as top asian police officer sues force over alleged racial discrimination,race,2008-08-19,3
fresh pressure on met chief blair as top asian police officer sues force over alleged racial discrimination,discrimination,2008-08-19,3
trinity mirror seeks job cuts and integration in midlands shakeup,job,2008-08-19,2
job fears as m&s tries to cut redundancy benefits,job,2008-08-19,2
kenya: anti-corruption chief returns to nairobi with vow to finish the job,job,2008-08-20,3
has baron black become a crip gangsta?,black,2008-08-20,2
the end of black stereotyping?,black,2008-08-20,2
"rock review: late of the pier, fantasy black channel",black,2008-08-21,2
"capello's job not in danger, says triesman",job,2008-08-21,2
boots on the ground is the key to the white house,white,2008-08-21,2
the beginning of the end of discrimination,discrimination,2008-08-21,2
black kids - look at me (when i rock wichoo),black,2008-08-21,2
us unemployment claimants down but jobs market still bleak,unemployment,2008-08-21,1
us unemployment claimants down but jobs market still bleak,job,2008-08-21,1
paint it black,black,2008-08-22,2
poem: white moon by wang xiaoni,white,2008-08-22,2
booker club: the white tiger,white,2008-08-22,2
when slavery isn't such a black-and-white issue,black,2008-08-23,2
when slavery isn't such a black-and-white issue,white,2008-08-23,2
us elections: why has obama stalled? no one mentions race,race,2008-08-23,2
want your job? reapply for it,job,2008-08-24,2
dream team? obama backs biden to help open up gap in deadlocked race,race,2008-08-24,2
"qatari student, 16, dies after 'race' attack",race,2008-08-25,1
government funding cuts 'leaving black youths to die',black,2008-08-25,2
luhr and werner win again for audi in alms race at mosport,race,2008-08-25,3
is race a factor in sports success?,race,2008-08-25,3
