headlines,terms,dates,scores
young city lawyers pay price for salary rise,law,2000-08-07,2
a station of two halves,legislation,2000-08-07,2
how americans responded to megan's law,law,2000-08-07,2
home office dismisses 'megan's law' call to name abusers,law,2000-08-07,2
clinton aides back missile shield,background,2000-08-07,2
doubt about sarah's law,law,2000-08-07,2
spain torn over role as a key eu gatekeeper.,control,2000-08-07,2
why barak needs the controversial sage,control,2000-08-08,2
passport control,control,2000-08-08,2
role model who fears falling off the tightrope,control,2000-08-09,2
eta hits back hours after deadly own goal,background,2000-08-09,2
pinochet's caravan comes back to haunt him,background,2000-08-10,2
briton injured in shooting by saudi student,shooting,2000-08-10,2
gibraltar may take legal action on nuclear sub,legislation,2000-08-11,2
video roundup,background,2000-08-11,2
"from cuba to congo, dream to disaster for che guevara",check,2000-08-12,1
"from cuba to congo, dream to disaster for che guevara",check,2000-08-12,1
exuberant roman bikers let the law go to their heads,law,2000-08-12,2
lynx back from the brink in italy,background,2000-08-12,2
petrie in broken leg scare,legislation,2000-08-13,1
grouse fail to turn up at big-money shooting party,shooting,2000-08-13,2
un set to tackle britain on racism,gun,2000-08-13,2
un set to tackle britain on racism,background,2000-08-13,2
play ground,background,2000-08-13,2
hillsman's law: take a chance,law,2000-08-14,2
shooting stars,shooting,2000-08-14,2
rivals back tough hague line on paedophiles,background,2000-08-14,2
un to 'take back' unruly mitrovice,gun,2000-08-14,2
un to 'take back' unruly mitrovice,background,2000-08-14,2
ba suspends all concorde flights,background,2000-08-15,2
back from the dead,background,2000-08-15,2
un to crack down as pirate boats threaten to drive fish to extinction,gun,2000-08-15,1
un to crack down as pirate boats threaten to drive fish to extinction,background,2000-08-15,1
cut-price fashions rein in inflation,legislation,2000-08-16,2
bt takes control of german mobile phone giant,control,2000-08-17,2
"shipman patient killed unlawfully, coroner rules",law,2000-08-17,2
punk idol rallies la protesters,law,2000-08-18,2
punk idol rallies la protesters,legislation,2000-08-18,2
safety checks weaken suicide theory of egyptair crash,check,2000-08-18,2
video roundup,background,2000-08-18,2
ex-maze inmate in loyalist gun battle,gun,2000-08-19,2
first leg of a horse race,legislation,2000-08-19,2
a good week for gustav le bon,legislation,2000-08-19,3
holding back the years,background,2000-08-19,2
law takes it into his own hands,law,2000-08-19,2
campaign's call for drug law change,law,2000-08-20,2
discipline and control bring reward for gloucestershire,control,2000-08-20,3
united hit the ground running,background,2000-08-21,2
scottish heads call for right to have every exam result checked,check,2000-08-21,2
troops back on belfast streets after shootings,background,2000-08-21,2
troops back on belfast streets after shootings,shooting,2000-08-21,2
gm animal tests 'out of control',control,2000-08-21,2
tuc says law review fails to prise open corporate doors,law,2000-08-22,2
fighting back,background,2000-08-22,2
passport control,control,2000-08-22,2
man dies in loyalist feud shooting,shooting,2000-08-24,2
police cell death ruled unlawful,law,2000-08-25,2
inflation by degrees,legislation,2000-08-25,2
america orders safety checks on 767s,check,2000-08-26,2
private hospital vetoes amputation of healthy leg,legislation,2000-08-26,2
first division roundup,background,2000-08-27,2
classy bramble flowers back to front,background,2000-08-27,2
the nation that likes to say 'nej',legislation,2000-08-27,2
christian broadcast bid gains ground,background,2000-08-27,2
don't shoot the messenger,shooting,2000-08-27,2
bungled un aid operation slows east timor's recovery,gun,2000-08-29,2
bungled un aid operation slows east timor's recovery,background,2000-08-29,2
local councillor shot dead by eta gunmen,gun,2000-08-29,2
passport control,control,2000-08-29,2
... and who is in control,control,2000-08-29,2
the tough gets back on track,background,2000-08-30,2
salvation army,legislation,2000-08-30,2
law of the letter,law,2000-08-30,2
irani follows the rule of law,law,2000-08-31,2
itv fights back with old and new soaps,background,2000-08-31,2
football hooligan first to be banned under new law,law,2000-08-31,2
£1m a year for city's top lawyers,law,2000-08-31,2
new european secrecy controls come into law,control,2000-08-31,2
new european secrecy controls come into law,law,2000-08-31,2
four in court on ulster girl shooting,shooting,2000-09-01,2
runway was not checked for doomed concorde,check,2000-09-01,1
botched results not given computer check,check,2000-09-01,1
battersea power station,legislation,2000-09-01,2
tony booth urges son-in-law blair to boost pensions,law,2000-09-01,2
un troops 'collaborate' with west siders,gun,2000-09-01,2
un troops 'collaborate' with west siders,background,2000-09-01,2
"carnival out of control, say police",control,2000-09-01,2
video roundup,background,2000-09-01,2
22 banned under new hooligan law,law,2000-09-02,2
back to work blues,background,2000-09-03,2
no such thing as a private email,shooting,2000-09-03,1
health check,check,2000-09-03,2
bruton calls for ahern action in omagh hunt,legislation,2000-09-03,2
gun-running pilot tells his tale,gun,2000-09-03,2
concern continues over the meningitis c vaccination,control,2000-09-03,2
concern continues over the meningitis c vaccination,background,2000-09-03,2
concern continues over the meningitis c vaccination,check,2000-09-03,2
concern continues over the meningitis c vaccination,automatic,2000-09-03,2
ti in £2.5bn us merger talks,legislation,2000-09-03,2
ti in £2.5bn us merger talks,shooting,2000-09-03,2
ti in £2.5bn us merger talks,automatic,2000-09-03,2
cold warriors keep control of republican defence agenda,control,2000-09-04,1
the meningitis c scare,control,2000-09-05,2
the meningitis c scare,background,2000-09-05,2
the meningitis c scare,check,2000-09-05,2
the meningitis c scare,automatic,2000-09-05,2
passport control,control,2000-09-05,2
britain proposes sweeping un reform,gun,2000-09-05,3
britain proposes sweeping un reform,background,2000-09-05,3
siamese twin case judges in unlawful killing dilemma,law,2000-09-06,2
atlantis returns to the international space station,legislation,2000-09-07,2
un refugee staff killed in west timor,gun,2000-09-07,2
un refugee staff killed in west timor,background,2000-09-07,2
"jodie and mary: the point where the law, ethics, religion and humanity are baffled",law,2000-09-08,2
un gets warning shot on peacekeeping,gun,2000-09-08,1
un gets warning shot on peacekeeping,background,2000-09-08,1
shake a leg,legislation,2000-09-08,2
shuttle atlantis blasts off to space station,legislation,2000-09-08,2
sharp shooting,shooting,2000-09-08,3
"why i despise fat cat lawyers, by mo mowlam",law,2000-09-10,2
brown's rage over his 'psychological flaws',law,2000-09-10,2
why it takes a law degree to make money from the net,law,2000-09-10,2
astronaut and cosmonaut scale the space station,legislation,2000-09-11,3
"fine words, flawed ideas",law,2000-09-11,2
unions urge action on pay greed,legislation,2000-09-11,2
law and order arrives on the electronic frontier,law,2000-09-11,2
un warns jakarta refugees could die,gun,2000-09-11,1
un warns jakarta refugees could die,background,2000-09-11,1
joseph h lewis,check,2000-09-12,2
joseph h lewis,shooting,2000-09-12,2
us told its gun culture is based on myth,gun,2000-09-12,2
astronauts embark on space station home-improvement,legislation,2000-09-13,3
"un to bolster peacekeeping force by 7,000",gun,2000-09-13,3
"un to bolster peacekeeping force by 7,000",background,2000-09-13,3
sarah's law 'gets minister's backing',law,2000-09-13,2
new-style action takes old order by surprise,legislation,2000-09-14,3
a nation waits,legislation,2000-09-14,2
cybersquatting and the law,law,2000-09-14,2
umpires put wagh on action stations,legislation,2000-09-15,2
astronauts go troubleshooting on space station,shooting,2000-09-15,2
astronauts go troubleshooting on space station,legislation,2000-09-15,2
straw says no to 'sarah's law',law,2000-09-15,2
lme goes electronic with om,automatic,2000-09-15,2
at this price?  emi,semi,2000-09-15,2
south africans want full control of lakeside,control,2000-09-15,2
cutting back,background,2000-09-16,2
straw rejects sarah's law,law,2000-09-16,2
emi in warner merger rescue bid,semi,2000-09-18,2
union questions police role in fuel protests,control,2000-09-18,2
emi and warner offer formal merger concessions,semi,2000-09-19,2
lib dems back gay couples,background,2000-09-19,2
passport control,control,2000-09-19,2
newly outfitted space station awaits first tenants,legislation,2000-09-19,2
heads accuse blunkett of failing to deliver on school cash control,control,2000-09-20,1
no looking back,background,2000-09-20,2
fencing round the issue,background,2000-09-20,2
ba bomb scare pilot 'mortified' passengers,background,2000-09-20,1
'there is no doubt tony has lost a lot of ground',background,2000-09-20,2
email spy law 'costly and undemocratic',law,2000-09-20,2
imf in oil row with un,gun,2000-09-20,2
imf in oil row with un,background,2000-09-20,2
mafia shooting set to ignite bombay gang wars,shooting,2000-09-21,1
kiwis in control as zims follow on,control,2000-09-22,2
play the role of consort,control,2000-09-23,2
call to aim for welsh political high ground,background,2000-09-23,2
un appoints watchers as fear of milosevic poll-rigging grows,gun,2000-09-23,1
un appoints watchers as fear of milosevic poll-rigging grows,background,2000-09-23,1
bt hits back in break-up row,background,2000-09-23,2
call to aim for welsh political high ground,background,2000-09-23,2
citizens live under law's dead hand,law,2000-09-23,2
crop control afghans angered by un ditching drug project,control,2000-09-23,2
crop control afghans angered by un ditching drug project,gun,2000-09-23,2
crop control afghans angered by un ditching drug project,background,2000-09-23,2
a divided nation - in a family's flat,legislation,2000-09-23,1
"young guns having some fun, all season",gun,2000-09-24,3
eta women emerge as top guns terror war,gun,2000-09-24,2
condom control,control,2000-09-24,2
shooting star,shooting,2000-09-24,1
'they sent someone in every five minutes to check i was still breathing',check,2000-09-25,2
one nation under a groove,legislation,2000-09-25,2
israel says un should take over temple mount,gun,2000-09-25,2
israel says un should take over temple mount,background,2000-09-25,2
"sir, meet my lawyer",law,2000-09-26,2
police shoot dead ex-mercenary,shooting,2000-09-26,2
lazio's firepower will test gunners,gun,2000-09-27,2
milosevic calls second round,background,2000-09-27,2
r s thomas,control,2000-09-27,2
r s thomas,background,2000-09-27,2
bank checks on benefit cheats,check,2000-09-28,2
lawyers claim deception over lost embryos,law,2000-09-28,1
united's glasnost spins out of control,control,2000-09-29,2
check on arms exports pledged,check,2000-09-29,2
taking over by talking back,background,2000-09-30,2
pump up the action and step on the gas,legislation,2000-09-30,2
looking back at labour,background,2000-09-30,2
health check,check,2000-10-01,2
tory with a tartan tinge,shooting,2000-10-01,2
sordid death of top gun,gun,2000-10-01,1
leicester lead from the back,background,2000-10-02,2
shooting to kill in the holy land,shooting,2000-10-02,2
court test for new right to life law,law,2000-10-02,2
this morning uk law sees the biggest change in more than 300 years. here is why,law,2000-10-02,2
passport control,control,2000-10-03,2
fresh gunfire shatters israeli truce,gun,2000-10-04,3
back in the hunt,background,2000-10-04,2
hague invites major in from cold to back 'one nation' policy switch,background,2000-10-04,1
emi and warner music call off merger,semi,2000-10-05,2
police will not back instant drug fines campaign,background,2000-10-05,1
no turning back,background,2000-10-05,1
un draws fire for covert selection of top humanitarian official,gun,2000-10-05,2
un draws fire for covert selection of top humanitarian official,background,2000-10-05,2
annan wants un to try teenagers for war crimes,gun,2000-10-06,2
annan wants un to try teenagers for war crimes,background,2000-10-06,2
how to ... take direct action and get the job you want,legislation,2000-10-07,2
"voyaging around her father, the hi-tech maxwell",background,2000-10-08,2
new lottery lawyers worked for branson,law,2000-10-08,2
a law unto themselves,law,2000-10-09,2
ba hons (e-u),background,2000-10-10,2
cook flies in as israel steps back from war,background,2000-10-10,2
divided city is united by the common cause of legalisation,legislation,2000-10-10,2
doubts surface over arafat's ability to control events,control,2000-10-10,1
passport control,control,2000-10-10,2
the heavy hand of the law,law,2000-10-11,2
old guard battles to regain control of police force,control,2000-10-11,1
hepatitis c victims sue nhs for millions,control,2000-10-11,2
hepatitis c victims sue nhs for millions,background,2000-10-11,2
hepatitis c victims sue nhs for millions,check,2000-10-11,2
hepatitis c victims sue nhs for millions,automatic,2000-10-11,2
drug check,check,2000-10-11,3
brown banished as scots rebound,background,2000-10-12,2
bosnian serb blows himself up to evade law,law,2000-10-13,2
summit hopes grow despite shootings,shooting,2000-10-13,2
how michael reeves made it to hollywood on the back of his mother's tea trolley,background,2000-10-13,2
double tragedy rolls back years of progress,background,2000-10-13,2
burberry gives gus a bumper check,check,2000-10-13,1
how young lives are wrecked by our tough cannabis laws,law,2000-10-15,2
law goes online,law,2000-10-15,2
stores check out the merger options,check,2000-10-15,2
"shooting, shooting off, and shooting the breeze",shooting,2000-10-16,1
"shooting, shooting off, and shooting the breeze",shooting,2000-10-16,1
"shooting, shooting off, and shooting the breeze",shooting,2000-10-16,1
liverpool stars witness bar shooting,shooting,2000-10-16,2
surfcontrol's revenues soar,control,2000-10-17,2
seven hour spacewalk spruces up the space station,legislation,2000-10-17,2
"after a nightmare week, israel fights back in the war of words",background,2000-10-17,1
passport control,control,2000-10-17,2
souness starts to make blackburn tick,automatic,2000-10-18,2
bizarre campaign targets gun control,gun,2000-10-18,1
bizarre campaign targets gun control,control,2000-10-18,1
back on track,background,2000-10-18,2
common ground,background,2000-10-18,2
class action,legislation,2000-10-18,2
"after four days outside, astronauts head into space station",legislation,2000-10-19,2
mcgregor and lawson to kick-start billy fury biopic,law,2000-10-19,2
new laws toe eu line on bias in workplace,law,2000-10-19,2
school faces action over diabetic ban,legislation,2000-10-19,2
voting where it counts,shooting,2000-10-20,2
voting where it counts,shooting,2000-10-20,2
voting where it counts,shooting,2000-10-20,2
voting where it counts,shooting,2000-10-20,2
feltz 's video launch held back by beeb,background,2000-10-20,2
wounded settlers trapped in gun battle,gun,2000-10-20,2
five different lives with one thing in common: they are over,shooting,2000-10-21,2
law and disorder,law,2000-10-22,2
wenger switches to cruise control,control,2000-10-23,2
us-style gun law comes to britain,gun,2000-10-23,2
us-style gun law comes to britain,law,2000-10-23,2
return ticket to state control easily bought,control,2000-10-23,1
it's a sure thing,shooting,2000-10-23,3
passport control,control,2000-10-24,2
taste of a future thick with lawyers,law,2000-10-24,2
nato role in kosovo scorned by mps,control,2000-10-25,2
deutsche ba claims over rival quashed,background,2000-10-25,2
a speaker for the nation,legislation,2000-10-25,2
seven states to vote on easing drug laws,law,2000-10-26,2
city in line for health check,check,2000-10-26,2
air traffic control bidders under fire,control,2000-10-26,2
china to outlaw 'second wives',law,2000-10-27,2
b is for boxing,background,2000-10-27,2
alliance of peers votes down sell-off of air traffic control,control,2000-10-27,1
trimble hits back at party critics,background,2000-10-27,2
my journey to hell and back (aka 15.38 glasgow-euston),background,2000-10-28,1
the mediocrity of the middle ground,background,2000-10-28,1
outlaws rule the wild web,law,2000-10-28,2
boeing hits at air traffic control sale,control,2000-10-28,2
control and exploit? if you think you can,control,2000-10-28,2
high fliers get first-class welcome but unskilled stay grounded,background,2000-10-30,2
gun dealer paid £1.4m for false conviction,gun,2000-10-31,1
passport control,control,2000-10-31,2
£1.2m for blunder that cost woman her leg,legislation,2000-10-31,1
space station crew near new home,legislation,2000-11-01,2
front...to back,background,2000-11-01,2
heston shoots down al gore,shooting,2000-11-01,1
guns and glamour still rule tinseltown,gun,2000-11-01,3
the real-life ali g,gun,2000-11-01,2
the real-life ali g,legislation,2000-11-01,2
the real-life ali g,background,2000-11-01,2
the real-life ali g,shooting,2000-11-01,2
franchises put abbey back in step with locals,background,2000-11-01,2
bolton jolted back into race for promotion,background,2000-11-01,2
spurs fans round on sugar,background,2000-11-01,2
"ipswich's single title, arsenal's weakened team, and airdrie's locked ground",background,2000-11-02,2
old hands for kevin smith's final new jersey outing,shooting,2000-11-02,2
lazio lay down law to eriksson,law,2000-11-02,1
jack straw: 'the last thing this government wants is any kind of confrontation',shooting,2000-11-02,2
matthews family fights back in turkey tussle,background,2000-11-02,2
"marriage of transsexual outside law, says judge",law,2000-11-03,2
cbi likes social inclusion - but no more laws please,law,2000-11-03,1
gun lobby takes aim at white working class,gun,2000-11-04,2
labour woos back rebel scots mp,background,2000-11-04,2
"'the worst thing about being free, is that it generally doesn't last'",shooting,2000-11-05,1
stephanie lawrence,law,2000-11-06,2
patten law,law,2000-11-06,2
freeserve launches interactive mouse mat,automatic,2000-11-07,2
wallop all round as pub regulars sort out raiders,background,2000-11-07,2
back to nature,background,2000-11-07,2
