headlines,terms,dates,scores
manchester city told that liverpool's daniel agger would cost £22m-plus,cost,2012-08-06,2
rare-earth mining in china comes at a heavy cost for local villages,cost,2012-08-07,2
1948 olympics: day 11: bbc's olympic coverage running smoothly,coverage,2012-08-07,3
olympics tv coverage: itv gave up the battle long ago,coverage,2012-08-09,2
'quality isn't all about cost',cost,2012-08-09,1
curiosity rover: why the best digital media coverage came from nasa,coverage,2012-08-09,2
student loans: a pocket guide,pocket,2012-08-10,2
f scott fitzgerald's 1936 piece finally appears in print,affordable,2012-08-10,2
this week in healthcare: 6 – 10 august,healthcare,2012-08-10,2
olympics 2012: bbc denies thompson criticised news coverage of team gb,coverage,2012-08-10,2
councils call for freedom to recoup rising cost of planning applications,preexisting,2012-08-10,2
councils call for freedom to recoup rising cost of planning applications,cost,2012-08-10,2
bbc wins gold for olympics coverage – but don't ask how much it cost,coverage,2012-08-11,3
bbc wins gold for olympics coverage – but don't ask how much it cost,cost,2012-08-11,3
the readers' editor... on the observer's olympic coverage,coverage,2012-08-11,2
first capital connect prosecution could cost me a heavy penalty,cost,2012-08-11,2
cracks appear in osborne's plan to boost mobile phone coverage,coverage,2012-08-12,2
bbc olympics coverage watched by 90% of uk population,coverage,2012-08-13,2
aviva to trial smartphone car insurance technology,healthcare,2012-08-13,3
aviva to trial smartphone car insurance technology,medicare,2012-08-13,3
aviva to trial smartphone car insurance technology,insurance,2012-08-13,3
the last word on nbc's olympics coverage,coverage,2012-08-13,2
how much did each team gb medal cost at london 2012?,cost,2012-08-13,2
mitt romney campaign goes on defensive over ryan's medicare plan,medicare,2012-08-14,2
hooked like a pair of car keys at the end of a wily crook's fishing rod,healthcare,2012-08-14,3
hooked like a pair of car keys at the end of a wily crook's fishing rod,medicare,2012-08-14,3
new partnerships in healthcare: debate,healthcare,2012-08-14,2
the real debate on care funding reform is still to come,healthcare,2012-08-14,2
the real debate on care funding reform is still to come,medicare,2012-08-14,2
how obama's healthcare reform boosted abstinence-only sex education,healthcare,2012-08-15,2
bbc's olympics coverage secured more than a third of all viewers,coverage,2012-08-15,2
lorraine pascale: 'i spent all my pocket money on chocolate brownies',pocket,2012-08-16,2
england v south africa – as it happened,coverage,2012-08-16,2
paul ryan's florida campaign trip puts focus on controversial medicare plan,medicare,2012-08-16,2
scent of a kitten: the 20 irrefutable theories of book cover design,coverage,2012-08-16,2
aviva insurance premium rise left us feeling trapped,insurance,2012-08-17,2
tourism bosses say visa red tape – and cost – are putting off chinese visitors,cost,2012-08-17,2
this week in healthcare: 13 - 17 august,healthcare,2012-08-17,2
continuing healthcare: deadline looms for 'secret' care fund,healthcare,2012-08-18,2
continuing healthcare: deadline looms for 'secret' care fund,healthcare,2012-08-18,2
continuing healthcare: deadline looms for 'secret' care fund,medicare,2012-08-18,2
paul ryan and his mother tout medicare plans at florida event,medicare,2012-08-18,2
the readers' editor on… complaints about too much coverage of the olympics,coverage,2012-08-19,1
the u-turn on social care is a small step towards a better britain,healthcare,2012-08-19,2
the u-turn on social care is a small step towards a better britain,medicare,2012-08-19,2
nick harkaway: what i'm thinking about ... the real cost of free stuff,cost,2012-08-19,2
"romney-ryan, counterintuitive champions of medicare",medicare,2012-08-20,2
obamacare could lead to an exodus of gps from the uk,aca,2012-08-20,2
100 quangos abolished in cost-cutting bonfire,cost,2012-08-21,2
nhs super-merger proposals 'create logical landscape for healthcare',healthcare,2012-08-21,3
the benefit of apps in healthcare,healthcare,2012-08-21,2
socially mixed communities are good for urban health,healthcare,2012-08-22,3
charity asks uk to reverse move that could cost developing countries £4bn,cost,2012-08-23,2
which is the most cost-effective classic car?,cost,2012-08-24,2
"your views on the news - gcses, housebuilding and class divide in health",healthcare,2012-08-24,3
