headlines,terms,dates,scores
"house prices come off the boil, says halifax",house,2000-08-07,2
the house of jasmine,house,2000-08-07,2
arson inquiry over house fire which killed three,house,2000-08-07,2
"barak, arafat pave way for camp david ii",campaign,2000-08-07,2
time for an elected upper house,house,2000-08-08,2
gore allies himself to integrity,rallies,2000-08-08,2
is there a psychiatrist in the house?,house,2000-08-08,2
attraction of the greenhouse effect,house,2000-08-08,2
people like us,house,2000-08-09,2
brierley opens campaign against ix marriage,campaign,2000-08-10,2
spanish protest against eta violence,protest,2000-08-10,1
vigilantes suspend anti-paedophile protest,protest,2000-08-10,2
paedophile protests,protest,2000-08-10,2
belgian judge forbids naming campaign,campaign,2000-08-10,2
portillo 'failed to register public speaking fees',republican,2000-08-10,2
vigilantes defy calls to end paedophile protests,protest,2000-08-10,2
milosevic uses arrests to bolster election chances,house,2000-08-10,2
families flee estate hate campaign,campaign,2000-08-10,1
'don't expect us to be sorry',house,2000-08-10,2
when your mouse can  find you that house ...,house,2000-08-11,2
us election costs,house,2000-08-11,2
porn history for lib dem candidate,democrat,2000-08-11,2
missile warning to us,house,2000-08-11,2
"denton house, cumbria",house,2000-08-12,2
fresh protests as sarah payne's parents appeal for calm,protest,2000-08-12,3
"reform collapses, greens rise, democrats tremble",democrat,2000-08-12,1
plea to protect countryside bill,protest,2000-08-12,2
backpack killer hid with body,pac,2000-08-13,3
bus profiteers abandon their grass routes,protest,2000-08-13,2
ex-priest fights for right to be mp,campaign,2000-08-13,2
protesters hand over 'paedophile list',protest,2000-08-14,2
"gore and bush might not be a class act, but the us is",house,2000-08-14,1
british mining could fall to us group,house,2000-08-14,2
the camera never lies,rallies,2000-08-14,2
"dna tests will reveal kirsty's killer, say thai police",protest,2000-08-15,2
menu for a democrat convention,democrat,2000-08-15,2
jackson brings radicalism to democrats,democrat,2000-08-16,2
thai police to retest murder suspects,protest,2000-08-16,2
girl power can jump-start the democrats' bandwagon,democrat,2000-08-16,2
lieberman could be gore's ticket to the white house,house,2000-08-17,2
judgment day for muirpace broker,pac,2000-08-18,2
punk idol rallies la protesters,rallies,2000-08-18,2
punk idol rallies la protesters,protest,2000-08-18,2
"animal tests are 'science, not torture'",protest,2000-08-18,2
the best senate scene,senate,2000-08-18,3
a wimp  acts superman,super,2000-08-19,2
when the numbers add up to buying a seriously big house,house,2000-08-19,2
brat pack takes on japan's old guard,pac,2000-08-19,1
surgeon suspended in first use of new banning powers,house,2000-08-19,2
house buyers staying on home ground,house,2000-08-19,2
welcome to the house and garden of fun,house,2000-08-19,3
had an accident? not your fault? watching the test?,protest,2000-08-19,2
campaign's call for drug law change,campaign,2000-08-20,2
dublin protest at treatment of mp,protest,2000-08-21,2
dublin protest at treatment of mp,campaign,2000-08-21,2
fury over putin's secrets and lies,rallies,2000-08-22,2
pub bomb victim to sue brewery,republican,2000-08-23,1
m&s rallies on shake-up talk,rallies,2000-08-24,2
"another protestant man slain, but britain says cease-fire holds",protest,2000-08-24,1
democracy adds fuel to delta oil conflict,democrat,2000-08-24,2
shutting the door on the house price misery,house,2000-08-25,1
democrats and dream demons,democrat,2000-08-25,3
chinese police hold three us evangelists,house,2000-08-25,2
cook rallies to genocide court,rallies,2000-08-26,1
canada and us fend off mexican call for an open border,house,2000-08-26,3
clinton's visit shows us fears for nigeria,house,2000-08-26,2
whose europe is it anyway?,house,2000-08-26,2
go back to your routes,protest,2000-08-27,2
the nation that likes to say 'nej',rallies,2000-08-27,2
online politics proves a turn-off,protest,2000-08-28,2
us wades into colombia's dirty war,house,2000-08-29,2
perk practice,super,2000-08-29,2
campaign to scrap selective schools revives,campaign,2000-08-29,2
us rebuff for hague trading bloc plan,house,2000-08-29,2
too loyal to republicans,republican,2000-08-29,2
labour to force pace on euro,pac,2000-08-30,2
test cricket returns to normality on a bad day for the captains,protest,2000-08-31,2
levi's launches latest ad campaign,campaign,2000-08-31,2
white house contenders spar over tv debates,house,2000-08-31,2
the laureate of st lucia,protest,2000-09-01,2
tory protests as blair aide takes civil service post,protest,2000-09-01,2
tory protests as blair aide takes civil service post,protest,2000-09-01,2
senior generals to escape trial for east timor killings,protest,2000-09-01,2
burma junta resorts to ridicule as suu kyi camp digs in,campaign,2000-09-01,2
house rules,house,2000-09-01,2
3m face dna tests in blair crime initiative,protest,2000-09-01,2
croat pm acts after killing of key witness,democrat,2000-09-01,2
euro campaigners and the vision thing,campaign,2000-09-01,2
jenkins says blair will never accept pr,protest,2000-09-01,2
peasant protests unsettle beijing,protest,2000-09-01,2
us blocks return home for exiled islanders,house,2000-09-01,2
betting the house on a cheaper loan,house,2000-09-02,2
media forces danish far right to scale down anti-euro campaign,campaign,2000-09-02,1
omens bad as troubled germans open campaign,campaign,2000-09-02,1
the man who chose the carbuncle,house,2000-09-03,2
suu kyi's roadside protest ends as police raiders go in,protest,2000-09-03,2
us aid reaps a bleak harvest,house,2000-09-03,1
safer ground for houses,house,2000-09-03,2
shop sales and house prices fall,house,2000-09-04,2
no mo mo,democrat,2000-09-04,2
no mo mo,democrat,2000-09-04,2
m&s bares all in first tv ad campaign,campaign,2000-09-04,2
campaigning preston mp dies,campaign,2000-09-04,2
campaigning preston mp dies,campaign,2000-09-04,2
mo mowlam stands down as mp,democrat,2000-09-04,2
mo mowlam stands down as mp,campaign,2000-09-04,2
vic polkinghorn and nathan cooper of st luke's,protest,2000-09-04,2
justin barnes and ben callis of saatchi & saatchi,rallies,2000-09-04,2
cold warriors keep control of republican defence agenda,republican,2000-09-04,1
crime boast may haunt democrats later,democrat,2000-09-04,2
world protests as junta forces suu kyi back home,protest,2000-09-04,2
prices slowdown fails to dent housebuilder profits,house,2000-09-05,1
exit mo mowlam - amid rumour and recrimination,democrat,2000-09-05,1
19-year greenham common campaign to end,campaign,2000-09-05,2
woodhead put to the test,protest,2000-09-05,2
side lines,rallies,2000-09-05,2
england bask in champagne moment,campaign,2000-09-05,2
england bask in champagne moment,campaign,2000-09-05,2
liberal democrat pre-manifesto digest,democrat,2000-09-06,2
liberal democrat pre-manifesto digest,democrat,2000-09-06,2
mcdonald's launches ad campaign fronted by sir les patterson,campaign,2000-09-06,2
bbc plan to bring in 'popular presenter' upsets panorama staff,senate,2000-09-06,2
race-hate rock cds seized in east germany,protest,2000-09-06,1
motorists hit back in kind as french protest chaos grows,protest,2000-09-07,1
nine hostages freed from east london kidnap den,protest,2000-09-07,2
"petrol prices may hit new highs, say campaigners",campaign,2000-09-07,3
pact's shaun williams to quit,pac,2000-09-07,2
us 'secretly put lives at atomic risk',house,2000-09-07,2
us 'secretly put lives at atomic risk',rallies,2000-09-07,2
french-style fuel protest hits britain,protest,2000-09-08,2
britons hurt as coach overturns on us tour,house,2000-09-08,1
a mercenary for democracy,democrat,2000-09-08,2
superplonk,super,2000-09-08,2
