headlines,terms,dates,scores
coronavirus: eu states take radical steps to stem spread,coal,2020-03-12,2
'cash is king': lewis hamilton criticises australian gp green light amid covid-19,green,2020-03-12,2
coronavirus: trump suspends european travel as global recession fears intensify,global,2020-03-12,2
medical supplies office in sydney coronavirus hotspot closes after staff member tests positive,coal,2020-03-12,2
"wind and solar plants will soon be cheaper than coal in all big markets around world, analysis finds",coal,2020-03-12,3
english football joins global sport shutdown in deepening virus crisis,global,2020-03-13,2
local elections and london mayoral race postponed for a year,coal,2020-03-13,2
"peace, solitude and environmental smugness: a love letter to train travel",environment,2020-03-13,3
wales v scotland six nations match called off 24 hours before kick-off,environment,2020-03-13,2
ba says jobs will go as airline industry faces crisis 'worse than 9/11',global,2020-03-13,2
ba says jobs will go as airline industry faces crisis 'worse than 9/11',job,2020-03-13,2
the coronavirus pandemic: visualising the global crisis,global,2020-03-13,2
global shortage of covid-19 test kits hits australia as other nations limit exports,global,2020-03-13,1
coronavirus pandemic reaches world leaders and disrupts global sporting events,global,2020-03-13,2
"markets fall again as global covid-19 cases near 130,000 – as it happened",global,2020-03-13,1
salford beats brighton and bristol to title of ‘greenest place to live’,green,2020-03-14,3
"nigel pearson: ‘it's the right decision to stop playing, even if it was made under duress'",green,2020-03-14,2
"teen models, powerful men and private dinners: when trump hosted look of the year",fuel,2020-03-14,3
"teen models, powerful men and private dinners: when trump hosted look of the year",environment,2020-03-14,3
"australian stocks of coronavirus testing kits 'rapidly deteriorating', says chief medical officer",coal,2020-03-14,2
bolsonaro and amlo slammed for snubbing coronavirus warnings,warming,2020-03-15,1
coronavirus causes french voters to stay away from local elections,coal,2020-03-15,2
uk medical schools urged to fast-track final-year students to help fight coronavirus,coal,2020-03-15,2
tennis players face a difficult future as non-stop global tours shut down,global,2020-03-15,1
markets face more turmoil as fears for global economy grow,global,2020-03-15,1
lgim to launch its first fossil fuel-free pension fund after pressure,fossil,2020-03-15,3
lgim to launch its first fossil fuel-free pension fund after pressure,fuel,2020-03-15,3
"nfl players agree to new deal, opening way for 17-game season",green,2020-03-15,2
"nfl players agree to new deal, opening way for 17-game season",deal,2020-03-15,2
"not investing in electric car battery production could cost uk 105,000 jobs – study",job,2020-03-15,1
uk ministers will no longer claim 'no successful examples' of russian interference,fuel,2020-03-15,3
prepare for the coronavirus global recession,global,2020-03-15,2
coronavirus: airlines face meltdown as global travel bans multiply,global,2020-03-15,2
a new job and a new crisis: andrew bailey arrives at the bank,job,2020-03-15,2
arsenal's head of medical rejects liverpool offer to stay at emirates,coal,2020-03-16,2
"viktor wynd: 'i was offered a mummified arm – but i didn't have €2,000 on me'",warming,2020-03-16,1
"us briefing: global coronavirus deaths, biden v sanders, and michael flynn",global,2020-03-16,2
"us briefing: global coronavirus deaths, biden v sanders, and michael flynn",environment,2020-03-16,2
coronavirus: anger in germany at report trump seeking exclusive vaccine deal,deal,2020-03-16,1
coronavirus deals china's economy a 'bigger blow than global financial crisis',deal,2020-03-16,1
coronavirus deals china's economy a 'bigger blow than global financial crisis',global,2020-03-16,1
coronavirus: global deaths and infections overtake those inside china,global,2020-03-16,2
the guardian view on the global virus threat: don’t abandon the poor,global,2020-03-17,1
french open's new dates in late september risk boycott by rafael nadal,deal,2020-03-17,2
"beaten, raped and forced to work: why i'm exposing the scandal of nigeria’s house girls",deal,2020-03-17,1
from aphex twin to al green: the most soothing songs to self-isolate with,global,2020-03-17,1
from aphex twin to al green: the most soothing songs to self-isolate with,deal,2020-03-17,1
from aphex twin to al green: the most soothing songs to self-isolate with,coal,2020-03-17,1
from aphex twin to al green: the most soothing songs to self-isolate with,green,2020-03-17,1
'an ethical nightmare': how coronavirus turned big brother into a house of horrors,coal,2020-03-17,1
'not sad to do this job': the merkel ally leading eu's brexit team,job,2020-03-17,1
"dixons carphone to close 531 stores, with loss of 2,900 jobs",job,2020-03-17,2
italy will be europe's canary in the coalmine for the post-covid economy,coal,2020-03-17,2
covid-19 reveals the alarming truth that many children can’t wash their hands at school,warming,2020-03-17,2
global witness accuses uk of 'rank hypocrisy' on fossil fuel projects,global,2020-03-17,2
global witness accuses uk of 'rank hypocrisy' on fossil fuel projects,fossil,2020-03-17,2
global witness accuses uk of 'rank hypocrisy' on fossil fuel projects,fuel,2020-03-17,2
is it safe – and ethical – to order meals online during the coronavirus outbreak?,coal,2020-03-18,2
'wonderchicken': oldest fossil of modern bird discovered,fossil,2020-03-18,2
fears 'lockdown parties' will increase global spread of coronavirus,global,2020-03-18,2
'awful and fake': oprah winfrey hits back at false sex-trafficking rumours,fuel,2020-03-18,1
the federal reserve can't save us. can trump fix the impending global recession?,global,2020-03-18,2
greenwood by michael christie review – an arresting eco-parable,green,2020-03-18,3
coronavirus: travellers race home amid worldwide border closures and flight warnings,warming,2020-03-18,1
study: global banks 'failing miserably' on climate crisis by funneling trillions into fossil fuels,global,2020-03-18,2
study: global banks 'failing miserably' on climate crisis by funneling trillions into fossil fuels,fossil,2020-03-18,2
study: global banks 'failing miserably' on climate crisis by funneling trillions into fossil fuels,fuel,2020-03-18,2
the uk government's woeful response to the coronavirus outbreak,fuel,2020-03-19,2
the guardian view on the windrush scandal: a result of a hostile environment,environment,2020-03-19,1
boris johnson says he expects mass covid-19 testing to be possible soon – as it happened,fossil,2020-03-19,2
i'm the head of a medical school. but doctors like me are going back to the frontline,coal,2020-03-19,1
"talk, disagree and walk away: how to isolation-proof your live-in relationship",green,2020-03-19,1
twitter to remove harmful fake news about coronavirus,fuel,2020-03-19,2
"j balvin: colores review – with this much style, who needs substance?",job,2020-03-19,2
radical niceness will see society through the coronavirus crisis,coal,2020-03-19,2
"with #togetherapart, ivanka trump capitalises on the coronavirus moment",environment,2020-03-19,2
greenland's melting ice raised global sea level by 2.2mm in two months,green,2020-03-19,2
greenland's melting ice raised global sea level by 2.2mm in two months,global,2020-03-19,2
peacetime constraints ditched in the war for economic survival,warming,2020-03-19,1
nepal tourism hit hard as global coronavirus fears close everest,global,2020-03-19,2
"teachers, counselors, food delivery: coronavirus crisis fuels army of volunteers",fuel,2020-03-19,2
warning sounded over australian governments' use of alternative financing for major projects,warming,2020-03-19,2
windrush scandal shames the home office,deal,2020-03-20,1
norfolk road report rewritten to remove warning of risk to bats,warming,2020-03-20,2
"my favourite game: costa rica v brazil, 2002 world cup",environment,2020-03-20,3
'we were on borrowed time': coronavirus could strike final blow to local newspapers,coal,2020-03-20,1
mexico's deadly toll of environment and land defenders catalogued in report,environment,2020-03-20,1
greenery by tim dee review – journeys in springtime,green,2020-03-20,2
country diary: yellowhammers woo their mates with a local song,coal,2020-03-20,2
wine cooler: global heating helps sweden's vineyards to success,global,2020-03-20,3
daily mail fuels coronavirus lockdown panic as abc presenters star live from their living rooms,fuel,2020-03-20,2
trump calls washington post report on early pandemic warning 'very inaccurate' - as it happened,warming,2020-03-21,1
"lay off those war metaphors, world leaders. you could be the next casualty",warming,2020-03-21,2
us trade deal ‘could flood britain with toxic cosmetics’,deal,2020-03-21,2
"catherine d’ignazio: 'data is never a raw, truthful input – and it is never neutral'",fuel,2020-03-21,1
"coronavirus as it happened: global cases top quarter of a million, as italy sees biggest daily rise in deaths",global,2020-03-21,2
the guardian view on music and pandemics: the global prisoners’ chorus,global,2020-03-22,2
j balvin: colores review – a riot of hooks and ideas,job,2020-03-22,3
