headlines,terms,dates,scores
us sounds terror warning,stimulus,2004-08-02,2
"banks should pay for debt advice, say lib dems",debtstudent,2004-08-02,2
interest rate rise 'certain' as economy grows,economy,2004-08-02,3
fa 'must overhaul pr strategy',manufacture,2004-08-02,2
deal on global trade holds out hope for poor nations,trade,2004-08-02,1
deal on global trade holds out hope for poor nations,national,2004-08-02,1
lie detector plan worries cabinet,loan,2004-08-02,2
"'higher tax, fewer services' in country",tax,2004-08-02,2
"sun, sea and tax",tax,2004-08-02,2
fa debacle: send us your views,manufacture,2004-08-02,2
fa debacle: send us your views,stimulus,2004-08-02,2
us paper takes on 'misleading' moore,stimulus,2004-08-02,2
c4 faces loss of us sitcom staple,stimulus,2004-08-02,2
yukos gets breathing space over tax bill,tax,2004-08-03,2
a long way from fair trade,trade,2004-08-03,2
royal bank plays down talk of abbey bid,bankruptcy,2004-08-03,2
tories 'to drop fees by upping loan rates',loan,2004-08-03,2
what became of other memorable ad slogans?,trade,2004-08-03,2
consumers confident despite spiralling debt,debtstudent,2004-08-03,3
i am new to the uk - how do i open a bank account?,bankruptcy,2004-08-03,3
pakistan arrests revealed us targets,stimulus,2004-08-03,2
us shelves new travel rules for britons,stimulus,2004-08-03,2
hedge fund warning as hsbc reports record profit,export,2004-08-03,1
cox family tries to capture cable firm,manufacture,2004-08-03,2
"transfer fees a thing of the past, says report",export,2004-08-04,1
royal bank hints at overseas bid,bankruptcy,2004-08-04,2
mps meet murdoch on us junket,stimulus,2004-08-04,2
"economy growth slowing, survey suggests",economy,2004-08-04,3
desmond weighs in to men's mag market,market,2004-08-04,2
desmond weighs in to men's mag market,market,2004-08-04,2
lib dem radicals call for pro-market switch,market,2004-08-04,2
lib dem radicals call for pro-market switch,market,2004-08-04,2
t&g trades well despite slowdown,trade,2004-08-04,3
fda looks into az reporting,export,2004-08-04,2
anelka for sale only if monaco break the bank at monte carlo,bankruptcy,2004-08-05,2
£3bn airbus buy signals virgin's challenge to ba,bailout,2004-08-05,2
£3bn airbus buy signals virgin's challenge to ba,bankruptcy,2004-08-05,2
ointment ban hurts s&n sales,bankruptcy,2004-08-05,1
eu ends tariff-free israeli trade,tariff,2004-08-05,2
eu ends tariff-free israeli trade,trade,2004-08-05,2
cashpoints: bank of england lifts interest rates to 4.75%,bankruptcy,2004-08-05,3
in brief: dillon signs up for love bug remake,loan,2004-08-05,2
cisse joins palace on loan,loan,2004-08-05,2
us intensifies security at ports,stimulus,2004-08-05,3
us intensifies security at ports,export,2004-08-05,3
us intensifies security at ports,import,2004-08-05,3
british energy rejects a restructured rescue plan,loan,2004-08-05,2
what the terror alerts really tell us,stimulus,2004-08-05,2
market manoeuvres,market,2004-08-05,2
market manoeuvres,market,2004-08-05,2
oil threat to world economy,economy,2004-08-05,2
can i take advantage of my son's tax-free account?,tax,2004-08-05,2
explosion in number of bankrupts,bankruptcy,2004-08-06,2
new hope over old debts after repossession ruling,debtstudent,2004-08-06,1
debt on the net,debtstudent,2004-08-06,2
senior al-qaida prisoners face us extradition,stimulus,2004-08-06,2
the dos and don'ts of debt,debtstudent,2004-08-06,2
private hospitals face tax break squeeze,tax,2004-08-06,2
reed says enforced access plan is daft,loan,2004-08-06,2
going for broke: bankruptcy numbers soar,bankruptcy,2004-08-06,2
scotland to raise council tax on second homes,tax,2004-08-06,2
tributes and tears at hearing as child abuse expert awaits his fate,export,2004-08-06,1
bank hints at further interest rate rise,bankruptcy,2004-08-06,2
oxford pays its debt to ancients in pindaric song,debtstudent,2004-08-06,2
scotland to raise council tax on second homes,tax,2004-08-06,2
fa must pick apple lessons for brand new start,manufacture,2004-08-06,2
just the two of us,stimulus,2004-08-06,2
males lust most for designer labels,stimulus,2004-08-06,2
us pioneer's vision offers hope to africa,stimulus,2004-08-07,3
"it's still the economy, stupid",economy,2004-08-07,1
kerry boost as economy hints at slide,economy,2004-08-07,2
toll motorway plan threatens historic rural beauty spots,loan,2004-08-07,2
ba trebles long-haul surcharges,bailout,2004-08-07,2
ba trebles long-haul surcharges,bankruptcy,2004-08-07,2
oil and us jitters prompt fears of global slowdown,stimulus,2004-08-07,2
power supply cannot be left to the market,market,2004-08-07,1
power supply cannot be left to the market,market,2004-08-07,1
loans boom turns to bust,loan,2004-08-07,2
euro disney must hit debt deadline - or it's au revoir,debtstudent,2004-08-07,2
it takes focus to beat lacklustre stock market,stock,2004-08-07,2
it takes focus to beat lacklustre stock market,stock,2004-08-07,2
it takes focus to beat lacklustre stock market,market,2004-08-07,2
it takes focus to beat lacklustre stock market,market,2004-08-07,2
cheer for students as loan rate falls,debtstudent,2004-08-07,1
cheer for students as loan rate falls,loan,2004-08-07,1
make us hippies happy,stimulus,2004-08-07,3
vaughan's men are hungry for more,retirement,2004-08-07,2
vaughan's men are hungry for more,retirement,2004-08-07,2
richards: the man who would be king,manufacture,2004-08-07,2
guide to age,package,2004-08-07,2
the expert gardener,export,2004-08-07,3
debt is krasner's deadliest opponent,debtstudent,2004-08-07,2
