headlines,terms,dates,scores
olympiakos v wolves: europa league last 16 – as it happened,visa,2020-03-12,2
uk and eu agree to 'dial down rhetoric' in brexit talks,green,2020-03-12,2
us migrant deportations risk spreading coronavirus to central america,immigration,2020-03-12,2
us migrant deportations risk spreading coronavirus to central america,migrant,2020-03-12,2
us migrant deportations risk spreading coronavirus to central america,deport,2020-03-12,2
pence says us is taking 'decisive action' on covid-19 after trump's confusing speech,immigration,2020-03-12,2
"migrants on greek islands to be offered €2,000 to go home",migrant,2020-03-12,2
"italy's government orders all shops, bars and restaurants to close",border,2020-03-12,2
revealed: the great european refugee scandal,refugee,2020-03-12,2
"us briefing: europe travel ban, weinstein sentenced and asylum seekers",asylum,2020-03-12,2
scott morrison addresses the nation about covid-19 response – as it happened,immigration,2020-03-12,2
'cash is king': lewis hamilton criticises australian gp green light amid covid-19,green,2020-03-12,2
greece warned by eu it must uphold the right to asylum,asylum,2020-03-12,1
sexism and arrogance at us soccer: carlos cordeiro's exit won't fix a thing,border,2020-03-13,1
ffa cup shirts to recognise refugees and asylum seekers still held in detention,refugee,2020-03-13,2
ffa cup shirts to recognise refugees and asylum seekers still held in detention,asylum,2020-03-13,2
varadkar and foster discuss cross-border coronavirus approach,border,2020-03-14,2
coronavirus: call to release uk immigration centre detainees,immigration,2020-03-14,2
coronavirus: call to release uk immigration centre detainees,migrant,2020-03-14,2
dear dairy: one graphic novelist’s fixation with the world of ice-cream vans,border,2020-03-15,2
claire ptak’s green recipes for spring,green,2020-03-15,2
st mungo's staff strike over conditions and treatment of migrants,migrant,2020-03-16,2
child killed in lesbos refugee camp fire,refugee,2020-03-16,2
greece hopes eu-turkey talks will ease tension over refugee crisis,refugee,2020-03-16,1
"us briefing: global coronavirus deaths, biden v sanders, and michael flynn",visa,2020-03-16,2
qatar world cup: report reveals 34 stadium worker deaths in six years,deport,2020-03-16,2
offshore aquifer found off south island could help new zealand tackle droughts,south,2020-03-16,2
'anchor babies': the 'ludicrous' immigration myth that treats people as pawns,immigration,2020-03-16,2
'anchor babies': the 'ludicrous' immigration myth that treats people as pawns,migrant,2020-03-16,2
erdoğan in talks with european leaders over refugee cash for turkey,refugee,2020-03-17,1
lebanon court orders release of us citizen accused of torture,border,2020-03-17,1
migration: un agency decries return of boat with 49 people to libya,immigration,2020-03-17,1
migration: un agency decries return of boat with 49 people to libya,migrant,2020-03-17,1
migration: un agency decries return of boat with 49 people to libya,undocumented,2020-03-17,1
