headlines,terms,dates,scores
barron plots big-race plan with imperial,race,2004-08-02,2
immigration managers bullied black colleague,black,2004-08-03,2
paddick: i've been promoted into a non-job,job,2004-08-04,2
quantica back to black,black,2004-08-04,2
"gil scott-heron, a new black poet",black,2004-08-05,3
league table losers plan job cuts,job,2004-08-05,1
black people 'overlooked as volunteers',black,2004-08-05,2
white house race gets nasty,white,2004-08-06,1
white house race gets nasty,race,2004-08-06,1
'prime suspect' officer in job row,job,2004-08-06,2
dettori grabs the lead in title race,race,2004-08-06,2
the new black,black,2004-08-07,2
don't give up the day job,job,2004-08-09,1
the world economy sinks or swims in the black stuff,black,2004-08-09,1
is there anyone at spurs who can relieve the white hart pain?,white,2004-08-10,1
black conductor fears he will remain exception,black,2004-08-10,2
pregnant workers still face 'deep-seated discrimination',discrimination,2004-08-10,2
hollinger counts cost of black battle,black,2004-08-11,2
mandelson takes eu trade job,job,2004-08-12,2
builder revealed as dream job for kids,job,2004-08-12,2
graduates confident despite tough job market,job,2004-08-12,3
the inhuman race,race,2004-08-12,1
truck maker's fate fuels west midlands job fears,job,2004-08-13,1
button concentrates on the job in hand,job,2004-08-13,2
wood poised to join saga sale race,race,2004-08-13,2
kerry hit by 'race card' ads,white,2004-08-14,2
kerry hit by 'race card' ads,race,2004-08-14,2
the new black,black,2004-08-14,2
black fails to move court case,black,2004-08-14,1
when the right job puts you on the road to cheap cover,job,2004-08-14,3
white house leak inquiry summons journalists,white,2004-08-14,2
moyes frets over 'toughest job in this league',job,2004-08-16,2
older people to be invited to share homes with job seekers,job,2004-08-19,2
the white stuff,white,2004-08-20,2
sun's paul field quits to take on us job,job,2004-08-20,2
campbell in recovery race,race,2004-08-20,2
the new black,black,2004-08-21,2
"i like my job, says the lap dancer. no you don't, says the feminist helping city try to shut clubs",job,2004-08-21,2
all white now,white,2004-08-22,2
white police claim racism,white,2004-08-22,2
give up the day job,job,2004-08-22,2
the new black,black,2004-08-22,2
black gold,black,2004-08-22,3
pay-as-you-go cover comes in a black box,black,2004-08-22,2
cooke withdraws from points race,race,2004-08-23,2
