headlines,terms,dates,scores
skills shortage 'not cause of unemployment',unemployment,2000-08-07,1
that old black magic,black,2000-08-08,1
"greys, in black and white",black,2000-08-08,2
"greys, in black and white",white,2000-08-08,2
woolwich boss wins big job,job,2000-08-09,2
race against time,race,2000-08-09,2
man held over arson attack as detectives play down race link,race,2000-08-09,1
black leader suspended for anti-semitic lieberman slur,black,2000-08-10,2
making the league is a job for the girls,job,2000-08-12,2
was the great gatsby a black man?,black,2000-08-13,2
race card is wild in russian poll,race,2000-08-13,3
cheney gets $20m oil job pay-off,job,2000-08-14,2
the low down: the job market,job,2000-08-14,1
judges criticise church job rules,job,2000-08-15,2
the black desert,black,2000-08-16,2
the best track race scene,race,2000-08-16,3
a good job for glenda,job,2000-08-17,3
lieberman could be gore's ticket to the white house,white,2000-08-17,2
black comedy accused of glamorising killer,black,2000-08-17,2
footballer fined for race attack,race,2000-08-17,2
black magic wears off,black,2000-08-19,1
gang wars fuel race fears in bradford,race,2000-08-19,2
first leg of a horse race,race,2000-08-19,2
pichetsrieder favourite for top job at vw,job,2000-08-20,3
black youth culture blamed as pupils fail,black,2000-08-20,1
race to head off transfer doomsday,race,2000-08-22,2
games officials race to stop pirates showing olympics on internet,race,2000-08-22,2
the rate for the job,job,2000-08-22,2
un criticises government over race relations,unemployment,2000-08-23,2
un criticises government over race relations,race,2000-08-23,2
job loss fears as harland and wolff faces cash crisis,job,2000-08-23,1
town where enterprise was underwritten by black gold,black,2000-08-23,3
sikh wins race case against the met,race,2000-08-24,2
gulf air crash: 'black boxes' recovered,black,2000-08-24,1
straw's race strategy is racist,race,2000-08-25,1
the rat race,race,2000-08-25,2
race issue,race,2000-08-26,2
finding the white balance,white,2000-08-27,2
white on black,white,2000-08-28,2
white on black,black,2000-08-28,2
confidence on rise in the black community,black,2000-08-28,2
letsbuyit.com announces job losses,job,2000-08-30,1
travellers win race ruling,race,2000-08-30,3
letsbuyit.com announces job losses,job,2000-08-30,1
job fears ease at welsh steel plant,job,2000-08-31,2
white house contenders spar over tv debates,white,2000-08-31,2
neo-nazis jailed for race killing,race,2000-08-31,2
the rat race,race,2000-09-01,2
tiny white coffin for a 'perfect' daughter,white,2000-09-01,3
schröder lays flowers as race victims hide,race,2000-09-01,2
met runs into new race row,race,2000-09-02,2
white blows windies away,white,2000-09-03,2
the last days of a white world,white,2000-09-03,2
police carnival critics 'stoking up race row',race,2000-09-03,2
italy's black panther heroine shocks nation with 'model jail' revelations,black,2000-09-03,2
italy's black panther heroine shocks nation with 'model jail' revelations,discrimination,2000-09-03,2
god kept busy by presidential race,race,2000-09-03,2
black gold will mean bleak days,black,2000-09-03,3
diana crash bodyguard takes job in east timor,job,2000-09-05,2
referee accuses fa of discrimination,discrimination,2000-09-05,2
race-hate rock cds seized in east germany,race,2000-09-06,1
why the eu thinks britain is just the job,job,2000-09-07,2
prosser hands over part of his bass job,job,2000-09-07,2
nhs risks building 'white elephants',white,2000-09-07,2
american race hate leader loses £4m suit,race,2000-09-08,1
