headlines,terms,dates,scores
the alt city guide to cardiff,healthcare,2016-08-09,2
never had it so good? the misconceptions about the cost of living,cost,2016-08-09,2
"black patients half as likely to receive pain medication as white patients, study finds",medicaid,2016-08-10,2
david brent: life on the road review – ricky gervais's bad cover version,coverage,2016-08-10,1
the facebook ‘study’ about cat v dog lovers misses the point: pets are gross,coverage,2016-08-10,1
crunch time for cashew nut lovers as wholesale costs soar,cost,2016-08-10,1
land for homes cost falls in wake of brexit vote,cost,2016-08-10,2
millions of britons paying ‘ethnic minority penalty’ for car insurance,healthcare,2016-08-10,3
millions of britons paying ‘ethnic minority penalty’ for car insurance,medicare,2016-08-10,3
millions of britons paying ‘ethnic minority penalty’ for car insurance,insurance,2016-08-10,3
housing official in silicon valley resigns because she can't afford to live there,affordable,2016-08-11,2
tui warns britons of rise in cost of post-brexit package holidays,cost,2016-08-11,2
"if you value guardian australia’s coverage of immigration and detention, please help fund it",coverage,2016-08-11,2
tasmania rules out halving 'insurance population' of disease-free devils,insurance,2016-08-12,1
"bbc olympic coverage review: smart segments, skirt scandals and 007",coverage,2016-08-12,2
"fixing water quality for great barrier reef will cost $8.2bn, report finds",cost,2016-08-12,3
the observer view on the cost of university education,cost,2016-08-13,2
fox news' structure is changing – but don't expect its coverage to do the same,coverage,2016-08-13,1
is it worth paying for legal protection on my motor insurance policy?,insurance,2016-08-13,2
what cost brexit? soon we'll know,cost,2016-08-14,2
gas meter blunder leaves thousands of consumers out of pocket,pocket,2016-08-15,1
team gb swimming coach says failure to punish drug cheats adequately cost medals,cost,2016-08-15,1
northern territory election: adam giles admits failures over insurance privatisation,insurance,2016-08-15,2
"care home rooms now cost more than £30,000 a year",healthcare,2016-08-16,2
"care home rooms now cost more than £30,000 a year",medicare,2016-08-16,2
"care home rooms now cost more than £30,000 a year",cost,2016-08-16,2
olympic wealth gap leaves africa behind,healthcare,2016-08-17,2
insurance companies want to weaken obamacare. we can’t let them,insurance,2016-08-17,2
insurance companies want to weaken obamacare. we can’t let them,aca,2016-08-17,2
"ftse drifts lower with admiral down, but healthcare group indivior soars",healthcare,2016-08-17,3
proposed new drug guidelines for the pbs put cost-cutting before patients,cost,2016-08-17,3
bbc cost cuts lead to 'closet' rio olympics interview with dawn airey,cost,2016-08-19,2
mark longhurst leaves sky news in cost-saving restructure,cost,2016-08-19,2
