headlines,terms,dates,scores
"sir alec guinness dies, aged 86",coverage,2000-08-07,2
the cost of...,cost,2000-08-13,2
doomed benefit card cost £800m,cost,2000-08-18,1
history of live tv coverage of english football's top league,coverage,2000-08-20,2
motorists face 25% rise in insurance,insurance,2000-08-23,2
fo report backs exiled islanders' fight with uk,affordable,2000-08-24,2
what's driving up the cost of insurance?,cost,2000-08-25,2
what's driving up the cost of insurance?,insurance,2000-08-25,2
driving up insurance costs,insurance,2000-08-27,2
driving up insurance costs,cost,2000-08-27,2
overstep costs five grand,cost,2000-08-27,2
south africa is fighting aids,medicaid,2000-08-27,2
the cost of,cost,2000-08-27,2
oftel warns bt of line cost curb,cost,2000-08-29,2
the cost of survival,cost,2000-08-30,2
monsters that ate your child's pocket money,pocket,2000-09-01,2
retailers row with banks over cost of new smart card,cost,2000-09-03,3
god kept busy by presidential race,pocket,2000-09-03,2
the cost of...,cost,2000-09-03,2
master mariner's life insurance payout all at sea,insurance,2000-09-03,3
gp's failure 'cost woman her leg',cost,2000-09-05,1
tory faithful do not want to eat apple pie at any cost,cost,2000-09-06,1
the cost of...,cost,2000-09-10,2
villa victory comes at cost,cost,2000-09-10,2
"cost of dispute could top £1bn, say firms",cost,2000-09-16,2
barclaycard tries out low-cost card,cost,2000-09-17,1
the cost of...,cost,2000-09-17,2
the pocket generals  plan for war,pocket,2000-09-22,2
critical time for sickness insurance,insurance,2000-09-23,2
the cost of...,cost,2000-09-24,2
gore turns to health as bush comes back,healthcare,2000-09-26,2
bbc sprints to ratings victory with olympics coverage,coverage,2000-09-28,2
cubans tell nhs the secret of £7 a head healthcare,healthcare,2000-10-02,2
gameplay counts cost of us acquisition,cost,2000-10-03,2
more healthcare secrets,healthcare,2000-10-03,2
tv watchdog rules against bbc over itn libel case coverage,coverage,2000-10-05,2
doctor's abortion view 'cost him job',cost,2000-10-09,2
itv counters bbc criticism of sports coverage,coverage,2000-10-10,2
prescription for harmony,prescription,2000-10-11,2
rising cost of young in city's care,preexisting,2000-10-11,3
rising cost of young in city's care,cost,2000-10-11,3
rising cost of young in city's care,healthcare,2000-10-11,3
rising cost of young in city's care,medicare,2000-10-11,3
"po bank to cost £130m a year, say high street groups",pocket,2000-10-11,2
"po bank to cost £130m a year, say high street groups",cost,2000-10-11,2
post office bank to cost taxpayers £130m a year,cost,2000-10-12,2
the cost of,cost,2000-10-15,2
free credit card? it'll cost you,cost,2000-10-15,2
vivendi seagram count the cost of their union,cost,2000-10-16,2
ford takes stake in digital radio group,affordable,2000-10-17,2
po bank may go out to tender,pocket,2000-10-19,2
"cost cutting threatens safety, say contractors",cost,2000-10-20,2
et cetera...,pocket,2000-10-21,2
the cost of...,cost,2000-10-22,2
repair of navy subs likely to cost £30m,cost,2000-10-22,2
insurance at a premium,insurance,2000-10-23,2
the cost of taking nature out of farming,cost,2000-10-28,2
the cost of...,cost,2000-10-28,2
wristwatches to make a hole in your pocket,pocket,2000-10-28,1
cost of the clean-up could reach £1bn,cost,2000-10-31,2
£1.2m for blunder that cost woman her leg,cost,2000-10-31,1
lloyd's names lose battle against insurance market,insurance,2000-11-03,2
the cost of...,cost,2000-11-05,2
fury as irvine cronies pocket £1m in fees,pocket,2000-11-05,2
in sickness and in wealth,healthcare,2000-11-06,3
jay says dyke happy with bbc coverage,coverage,2000-11-06,3
dyke attacks tv business coverage,coverage,2000-11-06,2
ad guru to pocket millions in takeover windfall,pocket,2000-11-07,2
ford chief says web will cut cost of cars,affordable,2000-11-07,2
ford chief says web will cut cost of cars,cost,2000-11-07,2
