headlines,terms,dates,scores
majority of white evangelical protestants in us believe trump serves their interests,white,2020-03-12,2
local elections and london mayoral race postponed for a year,race,2020-03-13,2
there’s more to new zealand white wine than sauvignon blanc,white,2020-03-13,2
"disney delays release of mulan, the new mutants and antlers as black widow speculation grows",black,2020-03-13,3
a race with love and death by richard williams review – britain's first great grand prix driver,race,2020-03-13,3
"on stage and screen, artists back a cause: black hair matters",black,2020-03-14,2
cambridge may drop bame mentoring of white academics,white,2020-03-14,2
a new job and a new crisis: andrew bailey arrives at the bank,job,2020-03-15,2
uefa enters crisis talks in battle to save football season and avoid job losses,job,2020-03-16,2
"rupaul's drag race recap: season 12, episode three",race,2020-03-16,1
markets rally as white house pushes for stimulus package – business live,white,2020-03-17,2
"english-born musher leads iditarod, world's most famous sled dog race",race,2020-03-17,3
"paul schrader slams coronavirus film shutdown, says he'd rather 'die on the job'",job,2020-03-17,2
'not sad to do this job': the merkel ally leading eu's brexit team,job,2020-03-17,1
"white nationalist hate groups have grown 55% in trump era, report finds",white,2020-03-18,1
bank of england and treasury race to stem covid-19 fallout,race,2020-03-18,2
steven mnuchin warns coronavirus could bring 20% unemployment,unemployment,2020-03-18,2
daryl davis: the black musician who converts ku klux klan members,black,2020-03-18,2
'make techno black again': a social experiment subverts whitewashing in clubs,black,2020-03-18,2
'make techno black again': a social experiment subverts whitewashing in clubs,white,2020-03-18,2
the race for a cure: inside the 20 march edition of the guardian weekly,race,2020-03-18,2
'the legal stuff is garbage': why canada's cannabis black market keeps thriving,black,2020-03-18,1
wednesday briefing: coronavirus – the race home,race,2020-03-18,2
coronavirus: travellers race home amid worldwide border closures and flight warnings,race,2020-03-18,1
photographs of black teenagers that stare prejudice in the face,black,2020-03-18,2
the democratic race is over. voters have picked joe biden,race,2020-03-18,1
tulsi gabbard quits 2020 democratic presidential race,race,2020-03-19,2
win for conservation as african black rhino numbers rise,black,2020-03-19,2
neil black threatened to quit if uka ended farah's relationship with salazar,black,2020-03-20,2
'i'm praying we'll be back to work:' what it's like to lose your job in a pandemic,job,2020-03-20,1
coalition relaxes job-seeking obligations but refuses to suspend them during coronavirus crisis,job,2020-03-20,1
race across the world: a competitive gap year you end up caring about,race,2020-03-21,2
coronavirus: homeless face race against time to self-isolate,race,2020-03-22,2
"morning mail: lockdowns on agenda, rapid testing approved, job losses increase",job,2020-03-23,1
"when it comes to unemployment in australia, definitions have been broken",unemployment,2020-03-23,1
"rupaul’s drag race recap: season 12, episode four",race,2020-03-23,1
job losses from australia's coronavirus shutdown will be 'devastating',job,2020-03-23,1
arts workers: what effect has coronavirus had on your job?,job,2020-03-24,2
"'i'm full of dread': doctors, nurses and cleaners on risking their lives for their job",job,2020-03-24,1
union agrees to alter hospitality award in bid to save job losses due to coronavirus,job,2020-03-24,2
'where's fauci?' america panics as doctor absent again from white house briefing,white,2020-03-24,2
more than 1m californians have filed for unemployment amid coronavirus crisis,unemployment,2020-03-25,1
'what am i supposed to do?': covid-19 sparks mass unemployment across us,unemployment,2020-03-25,2
news corp australia warns of coronavirus crisis job cuts as smaller regional papers close,job,2020-03-25,2
white house calls on new yorkers who have left city to self-quarantine – as it happened,white,2020-03-25,2
lucky-man sunak dishes the dosh and eyes up johnson's job,job,2020-03-26,2
new york governor rails at congress for lack of aid in covid-19 crisis: 'do your job',black,2020-03-26,1
new york governor rails at congress for lack of aid in covid-19 crisis: 'do your job',job,2020-03-26,1
unemployment caused by coronavirus will leave deep scars in us,unemployment,2020-03-26,1
record 3.3m americans file for unemployment as the us tries to contain covid-19,unemployment,2020-03-26,1
'it’s a razor’s edge we’re walking': inside the race to develop a coronavirus vaccine,race,2020-03-27,3
f1 considers two-day race weekends to help stalled season get to finish line,race,2020-03-28,3
will sky-high unemployment lead to authoritarianism or progress?,unemployment,2020-03-30,1
"rupaul’s drag race recap: season 12, episode five",race,2020-03-30,1
"trump says keeping us covid-19 deaths to 100,000 would be a ‘very good job’",job,2020-03-30,3
ftse 100 posts largest quarterly fall since black monday aftermath,black,2020-03-31,1
why is instacart making its contract workers risk their health to do their job?,job,2020-03-31,2
bbc drama head piers wenger: 'we want to show black british talent doesn't have to go to the usa',black,2020-04-01,1
self-made and the banker showcase the power of black-owned businesses,black,2020-04-01,2
what us unemployment benefits can i get during the coronavirus? your payment options explained,unemployment,2020-04-02,2
coronavirus batters us economy as 6.65m file for unemployment last week,unemployment,2020-04-02,2
the race to find a coronavirus treatment has one major obstacle: big pharma,race,2020-04-02,2
experts warn of mental health fallout from mass us unemployment,unemployment,2020-04-03,2
unemployment in us and uk 'may be worse than in great depression',unemployment,2020-04-03,1
us jobs report: unemployment rose to 4.4% in march after february's 50-year low,job,2020-04-03,1
us jobs report: unemployment rose to 4.4% in march after february's 50-year low,unemployment,2020-04-03,1
'trump is killing his own supporters' – even white house insiders know it,white,2020-04-05,2
'what an idiot!' triathlete out of virtual race after husband trips over power cord,race,2020-04-05,2
"rupaul's drag race recap: season 12, episode 6 – snatch game",race,2020-04-05,1
boston's apollo: sargent's model and hidden black nobility in american art,black,2020-04-05,2
germany's devolved logic is helping it win the coronavirus race,race,2020-04-05,3
"'coughing major' case not black and white, says quiz writer",black,2020-04-06,1
"'coughing major' case not black and white, says quiz writer",white,2020-04-06,1
revealed: wisconsin's black and student populations at highest risk of voter purges,black,2020-04-06,2
tell us: have you found a new job during the coronavirus pandemic?,job,2020-04-06,2
'no dss': the fight to end housing discrimination,discrimination,2020-04-06,2
bathtime and black paint: tracey emin posts lockdown diary,black,2020-04-06,2
bathtime and black paint: tracey emin posts lockdown diary,race,2020-04-06,2
"bame groups hit harder by covid-19 than white people, uk study suggests",white,2020-04-07,2
"bame groups hit harder by covid-19 than white people, uk study suggests",white,2020-04-07,2
snow-white coral of once-vibrant great barrier reef a sign urgent action must be taken,white,2020-04-07,3
snow-white coral of once-vibrant great barrier reef a sign urgent action must be taken,discrimination,2020-04-07,3
f1 furloughs half of staff as canadian grand prix is ninth race called off,race,2020-04-07,3
dana white plans to host ufc 249 on private island during coronavirus lockdown,white,2020-04-07,2
scientists capture image of black hole emitting high-energy jets,black,2020-04-07,3
ferrari agree f1 season can end in 2021 and support radical race changes,race,2020-04-08,2
stephen colbert to trump: ‘grow up and do your damn job’,job,2020-04-08,2
"if coronavirus doesn't discriminate, how come black people are bearing the brunt?",discrimination,2020-04-08,1
"if coronavirus doesn't discriminate, how come black people are bearing the brunt?",black,2020-04-08,1
from pose to euphoria: drag race stars on the best queer tv,race,2020-04-08,3
air race – the global push to make ventilators: inside the 10 april edition of the guardian weekly,race,2020-04-08,2
f1 aiming to begin behind closed doors in europe with hope for 19-race season,race,2020-04-09,3
us unemployment rises 6.6m in a week as coronavirus takes its toll,unemployment,2020-04-09,1
tommy chong: 'we were always high. that was the job',job,2020-04-10,2
coronavirus us news: new york sees record daily death toll as unemployment rises by 6.6m – as it happened,unemployment,2020-04-10,2
trump advisers doubt swift reopening as who official says virus will 'stalk human race',race,2020-04-12,2
"rupaul's drag race recap: season 12, episode seven – madonna magic",race,2020-04-12,1
saints' jenkins says black americans cannot rely on government help for covid-19,black,2020-04-12,1
scholars hit back over new yorker ‘hatchet job’ on edna o'brien,white,2020-04-12,2
scholars hit back over new yorker ‘hatchet job’ on edna o'brien,job,2020-04-12,2
'a perfect storm': poverty and race add to covid-19 toll in us deep south,race,2020-04-12,3
'we're risking our life': coronavirus takes a toll on essential workers still on the job,job,2020-04-12,2
"australian universities warn covid-19 relief package not enough to stop 21,000 job losses",job,2020-04-12,1
the guardian view on a covid-19 government: failing to do the job,job,2020-04-13,1
nascar suspends kyle larson after driver uses n-word during virtual race,race,2020-04-13,2
"blackfishing: 'black is cool, unless you're actually black'",black,2020-04-14,2
"blackfishing: 'black is cool, unless you're actually black'",black,2020-04-14,2
"blackfishing: 'black is cool, unless you're actually black'",black,2020-04-14,2
"uk economy could shrink by 35% with 2m job losses, warns obr",job,2020-04-14,2
how an online hub upskills job seekers: ‘it shows you what the new world looks like’,job,2020-04-14,2
milwaukee’s covid-19 spread highlights the disparities between white and black,white,2020-04-14,2
milwaukee’s covid-19 spread highlights the disparities between white and black,black,2020-04-14,2
crawley likely to be worst affected by uk coronavirus job losses,job,2020-04-15,1
coronavirus policing leads to harsher repercussions for black americans,black,2020-04-15,2
erased from utopia: the hidden history of la's black and brown resistance,black,2020-04-15,2
‘designed for us to fail’: floridians upset as unemployment system melts down,unemployment,2020-04-15,1
coronavirus us live: white house publishes guidelines on reopening us – as it happened,white,2020-04-16,2
hood feminism and feminism interrupted review – non-white women take back power,white,2020-04-16,2
'race against time' to prevent famines during coronavirus crisis,race,2020-04-16,2
kyle larson didn't want to go 'there' with race. one word made sure he did,race,2020-04-16,1
hs2 was always a white elephant. to launch it now is a disgrace,white,2020-04-17,2
hs2 was always a white elephant. to launch it now is a disgrace,race,2020-04-17,2
"white house demands who reforms but is vague on details, diplomats say",white,2020-04-17,2
'i ain't voting till black lives matter': what does an activist's radical strategy mean for 2020?,black,2020-04-18,1
white house insists us has 'sufficient' testing capacity to reopen amid widespread criticism,white,2020-04-18,2
"morning mail: inside the unemployment crisis, turnbull on trump, farewell workplace burnout",unemployment,2020-04-19,2
"rupaul's drag race recap: season 12, episode eight – is this just jan-tasy?",race,2020-04-19,1
"black, blue and very bad taste: the rolling stones billboard that still sparks controversy",black,2020-04-19,1
"140,000 uk companies apply for coronavirus job furlough scheme",job,2020-04-20,2
bha issues warning after banned race-fixer brian wright leaves prison,race,2020-04-20,2
boris johnson is the wrong man in the wrong job at the wrong time,job,2020-04-20,1
'i'm trapped': the uae migrant workers left stranded by covid-19 job losses,job,2020-04-20,1
"we made right choice in ventilator race, says uk consortium head",race,2020-04-21,2
"orphan black: gripping sci-fi series shows that in dark times, family (or a 'clone club') prevails",black,2020-04-21,3
uk furlough scheme could just delay massive unemployment rise,unemployment,2020-04-21,2
mo farah leads tributes after death of former uk athletics chief neil black,black,2020-04-21,2
'i don't want this job to kill me': why have 68 new york transit workers died during the pandemic?,job,2020-04-21,1
trump to host cuomo at white house after conflict over supplies – as it happened,white,2020-04-21,2
coronavirus crisis exposes black hole in cricket australia's finances,black,2020-04-22,1
us unemployment applications reach over 26m as states struggle to keep up,unemployment,2020-04-23,1
fears of second wave of job losses as coronavirus crisis hits australian building industry,job,2020-04-23,1
australian job loss tracker: the industries and places most affected by the coronavirus crisis,job,2020-04-23,1
london marathon race director admits event may include only elite runners,race,2020-04-24,2
‘little things make a big difference to our residents’: why a job as a property manager is so rewarding,job,2020-04-24,2
"job losses, cancelled tours, delayed releases: the australian books industry grapples with 'huge shock'",job,2020-04-25,3
"the job losses will be dire, but don’t let coronavirus blind you to what 'reform' will mean",job,2020-04-25,1
the week in radio: black music in europe; a history of the world in 100 objects; prison bag – review,black,2020-04-25,2
why is coronavirus taking such a deadly toll on black americans?,black,2020-04-25,1
uk tourism hotspots could face worst of post-lockdown job losses,job,2020-04-26,1
"rupaul's drag race recap: season 12, episode nine: all that glitters is not goldblum",race,2020-04-26,1
"my dad said i wasn’t black enough. at last, i know what he meant",black,2020-04-26,2
"my dad said i wasn’t black enough. at last, i know what he meant",unemployment,2020-04-26,2
how wfh has shown us the real lives behind the job titles,job,2020-04-26,2
jobactive agencies to reap millions amid soaring coronavirus unemployment,job,2020-04-27,1
jobactive agencies to reap millions amid soaring coronavirus unemployment,unemployment,2020-04-27,1
no fly zone: will race across the world be the last travel tv of its kind?,race,2020-04-27,1
rishi sunak will be alarmed but hard to see how ba job cuts could be avoided,job,2020-04-28,2
"trump returns to white house briefing, subdued but no less shameful",white,2020-04-28,1
obama white house team watched julia gillard's misogyny speech when annoyed at tony abbott,white,2020-04-29,1
wednesday briefing: job furloughs 'risk slide into mass redundancies',job,2020-04-29,2
kentucky governor ends beef with tupac shakur over unemployment check,unemployment,2020-04-30,2
