headlines,terms,dates,scores
uci defends olympics road race course after annemiek van vleuten crash,race,2016-08-08,2
this summer’s power fashion trend – white,white,2016-08-08,1
"new bid to amend racial discrimination act discussed with turnbull, says bob day",discrimination,2016-08-08,2
turn brexit uncertainty into job search success,job,2016-08-08,2
"i'm good at making things, so why can't i find a job that uses my skills?",job,2016-08-08,3
britain’s lizzie armitstead falters in rio road race under the glare of suspicion,race,2016-08-08,2
tottenham’s head of recruitment quits after dream job turns into nightmare,job,2016-08-09,1
"black science fiction writers face 'universal' racism, study finds",black,2016-08-09,1
i'm a hispanic immigrant. but to the world i am a lily-white wasp,white,2016-08-09,2
the dos and don'ts of job interview follow-up,job,2016-08-09,2
"black patients half as likely to receive pain medication as white patients, study finds",black,2016-08-10,2
"black patients half as likely to receive pain medication as white patients, study finds",white,2016-08-10,2
lesson of #censusfail: continued funding cuts mean agencies can’t do their job,job,2016-08-10,2
black lives matter is a movement the uk needs – and our work here is just starting,black,2016-08-10,3
'my job is to make children hopeful': inside liberia's deaf school,job,2016-08-10,2
lost cities #3 – muziris: did black pepper cause the demise of india's ancient port?,black,2016-08-10,2
the race to save a dying language,race,2016-08-10,2
critics denounce black lives matter platform accusing israel of 'genocide',black,2016-08-11,2
from molenbeek to hollywood – why belgian thriller black is the new la haine,black,2016-08-11,2
from molenbeek to hollywood – why belgian thriller black is the new la haine,black,2016-08-11,2
john paul white: beulah review – spectacularly gloomy and bitter,white,2016-08-11,2
"the weeknd gives $250,000 to black lives matter",black,2016-08-11,2
pigeon fancier receives lifetime ban for cheating in race,race,2016-08-12,2
eddie howe: ‘i’d love the chance … i was honoured to be linked with england job’,job,2016-08-12,3
police chiefs do a tough job. this attack on pay and perks is unjustified,job,2016-08-12,2
commentator hands gold medal to phelps rival ryan lochte in race confusion,race,2016-08-12,3
ban on criminal history question for us job seekers reveals deeper issue: racism,discrimination,2016-08-13,1
ban on criminal history question for us job seekers reveals deeper issue: racism,job,2016-08-13,1
my job as an interpreter is too often telling deaf people they won’t get help,job,2016-08-13,1
white waterlilies combine purity with a hint of danger,white,2016-08-13,2
from the rich black soil of the liverpool plains springs hope for coalmine-free future,black,2016-08-13,3
the guardian view on anti-muslim discrimination: a terrible social injustice,discrimination,2016-08-14,1
"workers rally around wages, race and plans to protest presidential debates",race,2016-08-14,2
advice on job hunting in uncertain times – live chat,job,2016-08-14,2
"kate mara: ‘if we were up for the same job, our agents wouldn't tell us’",job,2016-08-14,2
adam giles says former speaker 'did a terrible job' on abortion drug ru486 bill,job,2016-08-15,2
larry wilmore's show was a victim of our reluctance to discuss race,race,2016-08-15,1
"james tait black awards, uk's oldest book prizes, reveal 2016 winners",black,2016-08-15,2
chuck d: 'black lives matter is a defensive movement',black,2016-08-15,2
hidden figures trailer: nasa's overlooked black female mathematicians,black,2016-08-15,1
eric abetz says the phrase 'angry white man' is racial vilification,white,2016-08-15,2
kew gardens in race to collect and preserve madagascar's seeds,race,2016-08-15,2
18c won’t stop mature debate on race. but small mindedness and arrogance might,race,2016-08-15,3
i'm a new junior doctor and i already hate my job,job,2016-08-15,1
leyonhjelm makes racial discrimination complaint over 'angry white male' article,discrimination,2016-08-15,2
leyonhjelm makes racial discrimination complaint over 'angry white male' article,white,2016-08-15,2
gratuitous emphasis on race: why bill leak's cartoon fails to be meaningful,race,2016-08-15,3
leader of black police officers warns against taser rollout proposals,black,2016-08-16,2
uk police watchdog to investigate use of spit hood on black man,black,2016-08-16,2
corbyn might 'forget' labour mps' criticisms if he wins leadership race,race,2016-08-16,1
publisher delays ya novel amid row over invented black 'street dialect',black,2016-08-16,2
