headlines,terms,dates,scores
bush to set up anti-terror centre,bush,2004-08-02,2
no bounce for kerry,kerry,2004-08-02,2
us sounds terror warning,bush,2004-08-02,2
mr wonderful takes a cruise by john nott,john,2004-08-02,3
us paper takes on 'misleading' moore,bush,2004-08-02,2
kerry tries to persuade voters it's time for a new commander in chief,kerry,2004-08-02,2
what the us papers say,bush,2004-08-03,2
journalist faces wrath after kerry incident,kerry,2004-08-03,2
we are a nation in danger - bush,bush,2004-08-03,2
george mallalieu,george,2004-08-03,2
cia asks bush to discontinue blog,bush,2004-08-05,2
kerry courts america's corporate leaders,kerry,2004-08-05,2
what the terror alerts really tell us,bush,2004-08-05,2
'dishonest' anti-kerry ads cause a storm,kerry,2004-08-06,1
"george melly, nuts & son of nuts",george,2004-08-07,2
us pioneer's vision offers hope to africa,bush,2004-08-07,3
kerry boost as economy hints at slide,kerry,2004-08-07,2
why bush could be a fan of terror,bush,2004-08-07,2
john berger pays tribute to his good friend,john,2004-08-07,3
boys on the bus get stuck in traffic,bush,2004-08-07,2
jobs data hits bush election prospects,bush,2004-08-07,2
bush names new cia director,bush,2004-08-10,2
kerry's big idea? there isn't one,kerry,2004-08-10,2
bush names rightwing republican as cia chief,bush,2004-08-11,2
bush needs to change the subject,bush,2004-08-12,2
kerry hit by 'race card' ads,kerry,2004-08-14,2
dear john,john,2004-08-15,2
john ensures city suffer familiar fate,john,2004-08-15,3
"history is not on your side, mr kerry",kerry,2004-08-15,1
plumed kerry courts tribal vote,kerry,2004-08-15,2
"us to redeploy 100,000 troops and shut bases",bush,2004-08-15,2
bush plans us troop moves,bush,2004-08-16,3
bush plans us troop moves,bush,2004-08-16,3
john woo returns to chinese roots,john,2004-08-16,2
the women who get kerry's vote: teresa and theron,kerry,2004-08-17,2
us halts pre-poll afghan violence,bush,2004-08-17,1
the us press on ...,bush,2004-08-17,2
"kerry's royal roots will give him victory, says burke's",kerry,2004-08-17,2
us must share the blame,bush,2004-08-17,3
john oliver and andy zaltzman,john,2004-08-18,2
the guardian profile: john prescott,john,2004-08-19,2
military documents challenge kerry critic,kerry,2004-08-19,2
foreign policy tops us election agenda,bush,2004-08-19,2
john weightman,john,2004-08-19,2
kerry goes to war to put the record straight,kerry,2004-08-20,1
john slater,john,2004-08-21,2
dear john,john,2004-08-22,2
'bush should call off his dogs',bush,2004-08-23,2
why bush is on the carpet with hoover,bush,2004-08-23,2
anger as bush bids to exploit olympic games,bush,2004-08-23,1
fellow skipper throws kerry lifeline as mud starts to stick,kerry,2004-08-23,2
democrats hope the dispossessed of smalltown usa will make bush pay,bush,2004-08-24,2
bush hails kerry's 'admirable' war record,bush,2004-08-24,3
bush hails kerry's 'admirable' war record,kerry,2004-08-24,3
north korea denounces 'tyrant' bush,bush,2004-08-24,2
uk to take tough line against us over kyoto,bush,2004-08-24,2
bush's games hijack leaves a very sour taste,bush,2004-08-24,1
john clark,john,2004-08-25,2
kerry fights off attacks in swing states,kerry,2004-08-26,2
bush and kerry neck and neck,bush,2004-08-26,2
bush and kerry neck and neck,kerry,2004-08-26,2
us army reveals wider abu ghraib abuses,bush,2004-08-26,2
adviser to bush quits over ads,bush,2004-08-26,1
john inverdale,john,2004-08-27,2
bush u-turn on climate change wins few friends,bush,2004-08-27,2
bush admits mistake over iraq,bush,2004-08-28,1
paranoia stalks bush rally,bush,2004-08-28,2
dear john,john,2004-08-29,2
faltering bush plays terror card,bush,2004-08-29,1
olympic gold hero accuses bush,bush,2004-08-29,2
howard hits back over bush rebuff,bush,2004-08-29,2
the day i was 'kidnapped' by elton john,john,2004-08-29,2
bush and blair: four more years may bring wide rifts on the middle east and cuba,bush,2004-08-30,2
dear john ...,john,2004-08-30,2
russia and georgia battle for control,george,2004-08-30,2
bush's big chance,bush,2004-08-30,2
rift harms tory links with bush,bush,2004-08-30,2
huge protest against bush on eve of party meeting,bush,2004-08-30,2
bush puts softer face on hard right agenda,bush,2004-08-30,3
no 10's silent support for kerry,kerry,2004-08-31,2
"he's young, good looking, and hispanic - could he be the next george bush in the white house?",george,2004-08-31,2
"he's young, good looking, and hispanic - could he be the next george bush in the white house?",bush,2004-08-31,2
let's stop bush-bashing and listen to what he has to say,bush,2004-08-31,2
bush says war on terror will be won,bush,2004-08-31,2
zigzag democrat cheers on bush,bush,2004-09-01,2
let us write our own history - the declaration of a party thirsting for unity,bush,2004-09-01,2
republicans seek four more years of bush,bush,2004-09-01,2
kerry struggles to move out of shadow of iraq,kerry,2004-09-02,1
bush sells himself as candidate for change,bush,2004-09-02,2
george w bush's missing year,george,2004-09-02,2
george w bush's missing year,bush,2004-09-02,2
cheney lambasts kerry over security,kerry,2004-09-02,2
vice-president attacks kerry's lack of resolve on war and peace,kerry,2004-09-02,1
bush's positive record,bush,2004-09-03,3
economic uncertainty makes us poll a close call,bush,2004-09-03,2
outraged kerry takes the gloves off at last after republican jibes,kerry,2004-09-03,2
"despite the double-speak, bush's message is clear",bush,2004-09-03,2
bush casts himself as the lone ranger,bush,2004-09-03,2
george jr sent out of texas by father as a 'drunken liability',george,2004-09-03,1
jobs growth boosts bush's chances,bush,2004-09-03,3
bush unfit to lead - kerry,bush,2004-09-03,2
