headlines,terms,dates,scores
"morning mail: eu condemns us ban, shares plunge, grand prix in doubt",house,2020-03-12,2
boris johnson calls coronavirus 'worst public health crisis for a generation' – as it happened,republican,2020-03-12,2
football in empty stadiums is something we will have to get used to,house,2020-03-12,1
sports grants: senate committee will ask bridget mckenzie to front inquiry,senate,2020-03-12,2
majority of white evangelical protestants in us believe trump serves their interests,protest,2020-03-12,2
majority of white evangelical protestants in us believe trump serves their interests,house,2020-03-12,2
list of world's worst 'digital predators' stretches from india and brazil to us,house,2020-03-12,1
pence says us is taking 'decisive action' on covid-19 after trump's confusing speech,house,2020-03-12,2
'you ruined my premiere!': beckinsale recalls weinstein's obscenity-filled rant,democrat,2020-03-12,1
"us briefing: europe travel ban, weinstein sentenced and asylum seekers",house,2020-03-12,2
"us briefing: europe travel ban, weinstein sentenced and asylum seekers",senate,2020-03-12,2
australian government unveils $17.6bn stimulus package as coronavirus hammers stock market,pac,2020-03-12,2
my spy review – dave bautista takes the muscle-man's tweenie test,protest,2020-03-12,2
tom hanks and wife rita wilson test positive for coronavirus in australia,protest,2020-03-12,3
"morrison's coronavirus stimulus package shows sober, expert advice can still prevail",pac,2020-03-12,1
thursday briefing: trump cuts us off from eu countries over virus,house,2020-03-12,2
‘everything is up in the air’: coronavirus fears upend us election campaigns,house,2020-03-12,1
‘everything is up in the air’: coronavirus fears upend us election campaigns,campaign,2020-03-12,1
"halt public use of facial recognition tech, says equality watchdog",republican,2020-03-12,1
"halt public use of facial recognition tech, says equality watchdog",house,2020-03-12,1
trump says us to suspend travel from europe in coronavirus speech – as it happened,house,2020-03-12,2
‘he’s gonna get us all killed’: sense of unease after trump coronavirus speech,house,2020-03-12,1
why has coronavirus testing in the us been such a disaster?,house,2020-03-13,1
can coronavirus be the crisis to shake us out of our alternate reality?,house,2020-03-13,2
can coronavirus be the crisis to shake us out of our alternate reality?,senate,2020-03-13,2
why joe biden won another week in us politics – and republicans lost,house,2020-03-13,1
why joe biden won another week in us politics – and republicans lost,republican,2020-03-13,1
cheltenham festival 2020: al boum photo wins gold cup again – live!,rallies,2020-03-13,3
"us launched airstrikes in iraq in retaliation for rocket attack, pentagon confirms",house,2020-03-13,2
trevor noah: 'coronavirus chose tom hanks to send a message to the rest of us',house,2020-03-13,2
"let’s move to east grinstead and forest row, west sussex: mystically fruity",protest,2020-03-13,2
mp bridgen enters covid-19 row between wife and dorries,campaign,2020-03-13,2
is the junior isa rise just another budget perk for the wealthy?,super,2020-03-13,2
sexism and arrogance at us soccer: carlos cordeiro's exit won't fix a thing,house,2020-03-13,1
my life in sex: the man whose wife sleeps with the gardener,house,2020-03-13,2
coronavirus: peter dutton tests positive to covid-19 after returning to australia from us,protest,2020-03-13,3
coronavirus: peter dutton tests positive to covid-19 after returning to australia from us,house,2020-03-13,3
dutton tests positive for covid-19 as morrison reverses decision to attend nrl game – as it happened,protest,2020-03-13,2
premier league prepares for suspension after arteta tests positive for covid-19,protest,2020-03-13,3
'pack like you're not coming back': how coronavirus is disrupting students' lives,pac,2020-03-13,1
'pack like you're not coming back': how coronavirus is disrupting students' lives,rallies,2020-03-13,1
