headlines,terms,dates,scores
mexico holds ex policeman for kidnap and murder,mexico,2004-08-02,2
mexico holds ex policeman for kidnap and murder,mexico,2004-08-02,2
visa 'unfair to exclude us bank',visa,2004-08-03,2
brave talk but no action: darfur gets a familiar response from the west,immigration,2004-08-03,3
"un deadline means war, say sudan's armed forces",undocumented,2004-08-03,2
immigration managers bullied black colleague,immigration,2004-08-03,2
immigration managers bullied black colleague,migrant,2004-08-03,2
un tells aid staff to quit gaza,undocumented,2004-08-05,2
"sudan agrees darfur aid plan, says un envoy",undocumented,2004-08-06,2
asylum policy risks hiv spread,asylum,2004-08-06,2
terror link to south africa after gun battle,south,2004-08-06,2
"mike osborne, border crossing/ marcel's muse",border,2004-08-06,2
fury at ban on hiv help for refugees,refugee,2004-08-08,2
italy's right beats drum on migrants,migrant,2004-08-09,2
visa fraud sting 'catching legitimate chinese students',visa,2004-08-09,2
author green lights cholera film,green,2004-08-09,2
the health of refugees,refugee,2004-08-09,2
mexicans turn to pawn shops for survival,mexico,2004-08-10,2
visa fraud crackdown hits china's students,visa,2004-08-10,2
italy and libya in joint offensive on migrants,migrant,2004-08-12,1
england v west indies - live!,visa,2004-08-12,2
"beside the ruined valley of peace, sadr's men wait for martyrdom",undocumented,2004-08-12,1
england v west indies - live!,visa,2004-08-12,2
seeking refuge yet still living in fear,refugee,2004-08-12,2
"in darfur, the un veto is proving as deadly as the gun",undocumented,2004-08-13,2
in brief: mexico city welcomes man on fire,mexico,2004-08-13,2
england v west indies - live!,visa,2004-08-14,2
refugees 'detained during legal process',refugee,2004-08-14,2
woman who fled gunmen refused asylum,asylum,2004-08-15,2
sutton names us wild cards,card,2004-08-16,3
un condemns massacre of tutsi refugees,undocumented,2004-08-16,2
un condemns massacre of tutsi refugees,refugee,2004-08-16,2
"migrants must not die at sea, berlusconi told",migrant,2004-08-17,1
massacred refugees buried,refugee,2004-08-17,2
my big fat green wedding,green,2004-08-17,2
us relaxes policy on visa violations,visa,2004-08-17,2
sudan accused of breaking its word as more refugees flee,refugee,2004-08-20,2
a delicate degree of separation,green,2004-08-21,3
how great aunt charlotte got to olympic medal first,migrant,2004-08-21,3
pair guilty of aiding migrants,migrant,2004-08-21,2
"when you walk through a store, hold your card up high...",card,2004-08-22,3
big fall in numbers seeking asylum,asylum,2004-08-22,2
spain promises amnesty to immigrants,migrant,2004-08-23,2
row over timing of migration figures,immigration,2004-08-23,2
row over timing of migration figures,migrant,2004-08-23,2
row over timing of migration figures,immigration,2004-08-23,2
row over timing of migration figures,migrant,2004-08-23,2
"after the exodus, the refugees dig in",refugee,2004-08-24,2
mexico catches key drugs smuggler,mexico,2004-08-24,2
home office hails drop in asylum figures,asylum,2004-08-24,2
government urged to pay for return of homeless migrants,migrant,2004-08-24,2
bobby fischer may face deportation to us,deport,2004-08-24,2
drop in asylum claim figures expected,asylum,2004-08-24,2
home office hails drop in asylum figures,asylum,2004-08-24,2
statisticians deny distortion on asylum,asylum,2004-08-25,2
figures that distort the asylum debate,asylum,2004-08-25,2
le prisonnier de roissy,border,2004-08-25,2
le prisonnier de roissy,deport,2004-08-25,2
home office hails asylum success,asylum,2004-08-25,3
thai troops remove refugees desperate for new life in us,refugee,2004-08-26,1
israel to deport uk journalist,deport,2004-08-26,2
public 'overestimate' asylum lottery cash,asylum,2004-08-26,2
the green consumer,green,2004-08-28,2
migrants' two-month boat trip,migrant,2004-08-28,2
splashing out? you may find your card is declined,card,2004-08-28,2
thatcher inquiry to question freed men,undocumented,2004-08-30,2
is my credit card company allowed to charge me a late fee even though i paid on time?,card,2004-08-31,2
is my credit card company allowed to charge me a late fee even though i paid on time?,green,2004-08-31,2
asylum seekers still held in jail,asylum,2004-09-01,2
frosty reaction to chef's pudding,immigration,2004-09-01,2
from icon to dykon,mexico,2004-09-03,2
straw urges un reform and attacks response to darfur,undocumented,2004-09-03,2
bigger asylum centre rejected,asylum,2004-09-03,1
davis u-turn over whistleblower book,visa,2004-09-06,2
tory asylum assault goes awry,asylum,2004-09-07,1
government plans four-fold rise in visa costs,visa,2004-09-08,2
south africa accused of asylum bar on zimbabweans,south,2004-09-09,2
south africa accused of asylum bar on zimbabweans,asylum,2004-09-09,2
foreign minister attacks britain for granting asylum to chechen,asylum,2004-09-10,2
bobo and co poised to plough something  back into guinea,mexico,2004-09-11,2
second beslan reporter drugged,deport,2004-09-11,2
"us soldier reports for duty, 39 years after going awol",deport,2004-09-12,2
ivan's screaming winds scour cayman islands and head for cuba and mexico,mexico,2004-09-13,1
lib dems propose migrant quotas,immigration,2004-09-13,2
lib dems propose migrant quotas,migrant,2004-09-13,2
scottish borders to be digital guinea pig,border,2004-09-15,2
"1,000 illegal migrants arrested in swoops",migrant,2004-09-15,2
blair vows to double asylum removals,asylum,2004-09-16,2
blair to unveil new targets on asylum seekers,asylum,2004-09-16,2
generation x,immigration,2004-09-17,2
generation x,mexico,2004-09-17,2
generation x,immigration,2004-09-17,2
generation x,mexico,2004-09-17,2
ryder cup - as it happens,border,2004-09-17,2
"asylum detention centres to be expanded by 1,000 places",asylum,2004-09-17,1
ryder cup - live!,border,2004-09-18,2
real icon relishes ways of wanderers,mexico,2004-09-18,2
'a nation in violent disorder',immigration,2004-09-20,2
'a nation in violent disorder',border,2004-09-20,2
lib dems attack 'cheap' asylum policy,asylum,2004-09-20,2
eu revives blunkett's asylum camp plan,asylum,2004-09-20,2
marriage scam for migrants broken,migrant,2004-09-22,1
moscow seeks un resolution to speed extradition in terror cases,undocumented,2004-09-22,2
howard to propose annual quota for immigration and asylum,immigration,2004-09-22,2
howard to propose annual quota for immigration and asylum,migrant,2004-09-22,2
howard to propose annual quota for immigration and asylum,asylum,2004-09-22,2
tories pledge immigrant quotas,immigration,2004-09-22,2
