headlines,terms,dates,scores
eriksson should steel himself even when england win,green,2004-08-02,2
terror warning pushes up oil prices,warming,2004-08-02,2
deal on global trade holds out hope for poor nations,deal,2004-08-02,1
deal on global trade holds out hope for poor nations,global,2004-08-02,1
green light for degradable bread bags,green,2004-08-02,0
ft strikes australian content deal,deal,2004-08-02,2
nottingham threatened with global lecturer boycott,global,2004-08-03,2
a touch of the body beautiful,fuel,2004-08-04,3
green goddesses on fire strike standby,green,2004-08-04,2
£3bn airbus buy signals virgin's challenge to ba,global,2004-08-05,2
father on bail over son's death,global,2004-08-05,2
global insults,global,2004-08-05,1
rivals team for global tv ratings venture,global,2004-08-05,2
murder charge father out on bail,global,2004-08-05,2
talktime: al franken,global,2004-08-05,2
talktime: al franken,deal,2004-08-05,2
talktime: al franken,coal,2004-08-05,2
oil and us jitters prompt fears of global slowdown,global,2004-08-07,2
caring for carers,warming,2004-08-07,2
kkr joins battle for grey global,global,2004-08-07,2
jobs data hits bush election prospects,job,2004-08-07,2
"without a war on poverty, we will never defeat terror",warming,2004-08-08,1
the bashful over-achiever,fuel,2004-08-08,2
warning over five-in-one vaccine,warming,2004-08-09,2
'be truthful - and funny will come',fuel,2004-08-09,3
hollywood fantasy? tidal wave disaster is just waiting to happen,deal,2004-08-10,2
"honours, degree",green,2004-08-10,2
vaccination for hay fever now possible,fossil,2004-08-11,2
coral takes global warming heat,global,2004-08-11,2
coral takes global warming heat,warming,2004-08-11,2
"uk jobless total rises by 27,000",job,2004-08-11,1
builder revealed as dream job for kids,job,2004-08-12,2
green light for stem cell clones,green,2004-08-12,2
blunkett to extend long arm of the law,warming,2004-08-12,2
"a missed test, a road crash: games open amid scandal and rumour",deal,2004-08-14,1
increase in ministers and officials barred from taking advantage of former jobs,job,2004-08-15,2
greeks expel drugs scandal pair,deal,2004-08-15,2
securing a global reach,global,2004-08-17,2
my big fat green wedding,green,2004-08-17,2
no flood warning issued for boscastle,warming,2004-08-17,1
model schools for a niche market,deal,2004-08-17,2
big pong as china's rejects extend global dominance,global,2004-08-18,2
boscastle's warning,warming,2004-08-18,2
spielberg's war could be most costly film ever,warming,2004-08-18,2
tressell v thoreau,environment,2004-08-18,2
gates joins uk in global vaccination project,global,2004-08-19,2
us press hit by new circulation figures scandal,deal,2004-08-20,2
