headlines,terms,dates,scores
fact-checking donald trump’s speech on his economic plan,check,2016-08-08,2
naacp president arrested after staging voting rights sit-in at lawmaker's office,shooting,2016-08-08,2
naacp president arrested after staging voting rights sit-in at lawmaker's office,law,2016-08-08,2
"gunning for corbyn, not the conservatives, is labour’s tragedy",gun,2016-08-08,1
suicide squad makes con air look inspired. it's time for a blockbuster face-lift,control,2016-08-08,1
oakland gun violence spurs young men's call for action: 'we come together',gun,2016-08-08,1
oakland gun violence spurs young men's call for action: 'we come together',legislation,2016-08-08,1
"using terror laws on alleged rightwing extremist a federal first, says minister",law,2016-08-08,1
"a short history of nauru, australia’s dumping ground for refugees",background,2016-08-09,2
theresa may should stick to her guns on executive pay and low pay alike,gun,2016-08-09,2
‘i want to hug him but also shout at him’: tom watson on jeremy corbyn and labour rifts,automatic,2016-08-09,2
canary islands fire ravages 7% of la palma,law,2016-08-09,2
canary islands fire ravages 7% of la palma,legislation,2016-08-09,2
boy hit by stray shotgun pellet in shooting that leaves man critically ill,gun,2016-08-09,2
boy hit by stray shotgun pellet in shooting that leaves man critically ill,shooting,2016-08-09,2
helen mirren to star as gun heiress in supernatural drama winchester,gun,2016-08-09,2
nobody can buy the silence of a climate spinning out of control,control,2016-08-09,2
"back to school bill: pencil case, pens, rubber … and a £785 ipad",background,2016-08-09,2
"census controversy shows abs 'needs to do better', says statistical society",control,2016-08-09,2
hillary clinton hits back at trump's economic proposals – as it happened,background,2016-08-09,2
dressed to thrill: charlotte dujardin begins her quest for the perfect round,background,2016-08-10,3
tom watson sends corbyn 'proof of trotskyist labour infiltration',automatic,2016-08-10,2
sky news defends report on gun running amid claims of faked meeting,gun,2016-08-10,1
birdman of alcatraz's personal bird atlas to go to auction,legislation,2016-08-10,2
tom watson – a piggy caught in several middles as labour battles on,automatic,2016-08-10,2
nauru files: widespread condemnation of australian government by un and others,gun,2016-08-10,2
nauru files: widespread condemnation of australian government by un and others,background,2016-08-10,2
israeli mp floats law to protect netanyahu from criminal inquiries,law,2016-08-10,2
donald trump hints at assassination of hillary clinton by gun rights supporters,gun,2016-08-10,2
parents who feed children vegan diet face prosecution under proposed italian law,law,2016-08-10,2
gunshots in ferguson after car hits protester on michael brown anniversary,gun,2016-08-10,2
election fraud report calls for stringent id checks,check,2016-08-11,2
facebook v adblock: the anti-ad empire strikes back,background,2016-08-11,2
"un has set dangerous precedent, says libya's oil boss",gun,2016-08-11,2
"un has set dangerous precedent, says libya's oil boss",background,2016-08-11,2
law firm investigating vw emissions scandal hired to examine bhs,law,2016-08-11,1
trump golf resort in scotland admits breach of data protection law,law,2016-08-11,2
from molenbeek to hollywood – why belgian thriller black is the new la haine,law,2016-08-11,2
from molenbeek to hollywood – why belgian thriller black is the new la haine,legislation,2016-08-11,2
clinton hits back over trump's 'violent' innuendo,background,2016-08-11,2
balkan wildlife faces extinction threat from border fence to control migrants,control,2016-08-11,3
how open data helps citizens to know the law,law,2016-08-11,2
nauru security guard ‘grabbed boy by throat and banged head against ground’,background,2016-08-11,2
the birth of a nation director nate parker talks about being accused of rape,legislation,2016-08-12,2
"kim rhode: shooting for history, country and donald trump",shooting,2016-08-12,1
amber hill fires tokyo warning after missing medal in skeet shooting,shooting,2016-08-12,2
the guardian view on thailand: the military is in control – but for how long?,control,2016-08-12,2
tata steel uk rescue deal closer after trustees back pension changes,background,2016-08-12,2
six-year-old boy critically injured in crossfire of philadelphia 'gun battle',gun,2016-08-12,1
growth review – funny and truthful look at one man's reality check,check,2016-08-12,3
"a 400-year-old shark, fracking 'bribes' and hinkley c – green news roundup",control,2016-08-12,1
"a 400-year-old shark, fracking 'bribes' and hinkley c – green news roundup",background,2016-08-12,1
"a 400-year-old shark, fracking 'bribes' and hinkley c – green news roundup",check,2016-08-12,1
"a 400-year-old shark, fracking 'bribes' and hinkley c – green news roundup",automatic,2016-08-12,1
"a 400-year-old shark, fracking 'bribes' and hinkley c – green news roundup",background,2016-08-12,1
"grouse shooting's rich, influential backers join forces to fire on critics",shooting,2016-08-12,3
cadbury owner buys back licence for biscuit business,background,2016-08-12,2
"chris packham using bbc role to push grouse-shooting ban, ian botham says",control,2016-08-12,1
"chris packham using bbc role to push grouse-shooting ban, ian botham says",shooting,2016-08-12,1
fact check: immigration minister peter dutton's claims against nauru files,check,2016-08-12,2
chris mitchell's clangers and shouting at the sky while googling twitter,shooting,2016-08-12,2
how we let the phoneys take control and debase the language of politics,control,2016-08-13,2
role of uk police in training bahrain’s forces ‘ignores abuses’,control,2016-08-13,2
police to hire law firms to tackle cyber criminals in radical pilot project,law,2016-08-14,2
tom watson claims proof of far-left planning to infiltrate labour,automatic,2016-08-14,1
housing act is deeply damaging legislation,legislation,2016-08-14,3
ryan lochte reveals details of gunpoint robbery by rio gang posing as police,gun,2016-08-14,2
"workers rally around wages, race and plans to protest presidential debates",background,2016-08-14,2
"i was shot at. what saved me was not a gun of my own, but running fast",gun,2016-08-14,2
liam fox tried to wrest control of foreign office duties from boris johnson,control,2016-08-14,2
"he gets knocked down ... but mo farah gets back up again to win 10,000m gold",background,2016-08-14,3
great britain’s women hockey team beat spain to progress into semi-finals,semi,2016-08-15,3
milwaukee mayor declares curfew to help ease unrest after police shooting,shooting,2016-08-15,2
news of the world legal chief cleared over surveillance of lawyers,law,2016-08-15,2
sports direct warehouse workers to receive back pay,background,2016-08-15,2
"sports direct should be landed with a hefty fine, despite its back pay offer",background,2016-08-15,3
dalian atkinson: former footballer dies after police shoot him with taser,shooting,2016-08-15,2
i was held after reading a book on a plane – we need to rethink our terror laws,law,2016-08-15,2
"law firm at centre of al-sweady inquiry to close down, say reports",law,2016-08-15,1
gays against guns: civil disobedience campaign to target gun companies,gun,2016-08-15,2
gays against guns: civil disobedience campaign to target gun companies,gun,2016-08-15,2
"the tragic background of david wolfe, chair of the prp",background,2016-08-15,2
jfk given all-clear after unfounded reports of shooting cause chaos,shooting,2016-08-15,2
"lawyers use victim-blaming language in domestic violence cases, says report",law,2016-08-15,1
can the law come to the rescue of abused asylum seekers and refugees?,law,2016-08-15,2
univision buys bankrupt gawker media at auction for a reported $135m,legislation,2016-08-16,1
labour pledges to bring back maintenance grants for poorest students,background,2016-08-16,2
greener alternatives to hinkley point c,control,2016-08-16,2
greener alternatives to hinkley point c,background,2016-08-16,2
greener alternatives to hinkley point c,check,2016-08-16,2
greener alternatives to hinkley point c,automatic,2016-08-16,2
timeline of taser controversies in the uk,control,2016-08-16,2
racial tensions flare in saskatchewan after shooting of indigenous man,shooting,2016-08-16,2
how to tell a shining knight of a lawyer from an ambulance chaser?,law,2016-08-16,2
gays against guns activists begin campaign with 'die-in' at blackrock hq,gun,2016-08-16,2
olympic marriage proposals continue with tom bosworth popping question to boyfriend,automatic,2016-08-16,2
hundreds gather to remember muslim cleric as suspect charged in shooting,shooting,2016-08-16,2
dairy crisis: law could force milk processors to change contracts with farmers,law,2016-08-17,2
british airways cabin crew vote for industrial action but no strike,legislation,2016-08-17,1
the birth of a nation posters defaced after nate parker rape trial controversy,legislation,2016-08-17,1
the birth of a nation posters defaced after nate parker rape trial controversy,control,2016-08-17,1
two g4s police control room staff fired over 999 'test calls',control,2016-08-17,2
owen smith suggests islamic state needs to 'get round the table' – as it happened,background,2016-08-17,2
un under pressure over 'failure to act' during south sudan rampage,gun,2016-08-17,1
un under pressure over 'failure to act' during south sudan rampage,background,2016-08-17,1
