headlines,terms,dates,scores
gore selects lieberman as running mate,gore,2000-08-07,2
mini-bounce leaves bush in danger,bush,2000-08-07,2
gore goes for safety,gore,2000-08-08,2
gore allies himself to integrity,gore,2000-08-08,2
gore ditches clinton legacy,gore,2000-08-08,2
one big leap for us jews,bush,2000-08-08,2
gore's ratings surge on liebermania,gore,2000-08-09,2
gore's man talks of miracle,gore,2000-08-09,2
bush to decide on execution today of man with iq of 70,bush,2000-08-09,1
clinton flies in as 11 states go up in flames,gore,2000-08-09,2
bush allows execution for murderer with low iq,bush,2000-08-10,1
us furious at venezuelan leader's visit to saddam,bush,2000-08-10,2
us election costs,bush,2000-08-11,2
missile warning to us,bush,2000-08-11,2
clintons steal gore's show,gore,2000-08-11,2
gore caught in row between cash cows,gore,2000-08-12,2
how bouncing bush has cornered gore,bush,2000-08-13,2
how bouncing bush has cornered gore,gore,2000-08-13,2
time for gore to become human,gore,2000-08-13,2
gore struggles to emerge from clinton shadow,gore,2000-08-14,2
"gore and bush might not be a class act, but the us is",gore,2000-08-14,1
"gore and bush might not be a class act, but the us is",bush,2000-08-14,1
"gore and bush might not be a class act, but the us is",bush,2000-08-14,1
gore identifies new rogue state,gore,2000-08-15,2
gore gets ready to fight dirty,gore,2000-08-16,2
bush breaks $100m barrier,bush,2000-08-16,2
lieberman could be gore's ticket to the white house,gore,2000-08-17,2
gore goes back to basics,gore,2000-08-17,2
a vote for nader is a vote for bush,bush,2000-08-17,3
gore makes the grade on his big night,gore,2000-08-18,2
family and stars warm up gore crowd,gore,2000-08-18,2
gore gives america a stark choice,gore,2000-08-19,2
the electric chair gore should fear,gore,2000-08-19,2
east timor massacres may go unpunished,gore,2000-08-19,2
gore bets on substance,gore,2000-08-19,2
latest poll shows bush trailing,bush,2000-08-19,2
gore wins over the doubters,gore,2000-08-19,2
relief for gore at convention boost,gore,2000-08-20,2
revealed: plot to kill lloyd george,george,2000-08-24,2
canada and us fend off mexican call for an open border,bush,2000-08-26,3
us wades into colombia's dirty war,bush,2000-08-29,2
chelsea clinton 'hopes to go to oxford',gore,2000-08-29,2
bush brings out the attack ads to halt gore advance as gore draws level,bush,2000-09-01,1
bush brings out the attack ads to halt gore advance as gore draws level,gore,2000-09-01,1
bush brings out the attack ads to halt gore advance as gore draws level,gore,2000-09-01,1
"it's president gore, agree statisticians",gore,2000-09-01,2
support for gore surges as final countdown begins,gore,2000-09-04,2
strong sense of purpose hides george jr's lack of policy,george,2000-09-04,3
bush gets rattled,bush,2000-09-04,2
gore: his vision for america,gore,2000-09-04,2
bush makes major league gaffe,bush,2000-09-05,2
bush proposals for tv debates would limit audiences,bush,2000-09-05,2
bush signs deal with striking actors,bush,2000-09-07,3
gore aims to deliver knockout punch,gore,2000-09-07,3
jolted bush plays the underdog,bush,2000-09-08,2
gore woos women voters,gore,2000-09-10,2
bush campaign gaffe forces ad withdrawal,bush,2000-09-12,2
dirty rats leave gore a subliminal message,gore,2000-09-13,1
tokyo defiant after us threat on whales,bush,2000-09-15,2
gore wins battle for tv debates,gore,2000-09-16,2
poor old george,george,2000-09-18,1
flagging bush sets sights on middle class vote,bush,2000-09-19,1
flagging bush sets sights on middle class vote,bush,2000-09-19,1
us troops abused civilians in kosovo,bush,2000-09-19,2
bush turns to drink in ordeal by oprah,bush,2000-09-20,2
vote-hunting bush chases the florida key,bush,2000-09-22,2
gore joins oil protests,gore,2000-09-22,2
bush puts star wars ll on hold,bush,2000-09-22,2
bush and gore in trial by chat show,bush,2000-09-24,1
bush and gore in trial by chat show,gore,2000-09-24,1
it's good to talk for bush,bush,2000-09-26,3
gore turns to health as bush comes back,gore,2000-09-26,2
gore turns to health as bush comes back,bush,2000-09-26,2
freeserve signs up with bush internet and onnet,bush,2000-09-28,2
gore's chance of fairytale ending lies in fact not fiction,gore,2000-09-28,1
outrage at diy abortion pill blasts us election wide open,bush,2000-10-01,1
us and uk divided on e-political lines,bush,2000-10-02,2
gore and bush braced for tv clash,gore,2000-10-03,2
gore and bush braced for tv clash,bush,2000-10-03,2
new us battlefield for the rights of the unborn child,bush,2000-10-03,2
'al gore and george w bush are more deadlocked than ever',gore,2000-10-04,2
'al gore and george w bush are more deadlocked than ever',george,2000-10-04,2
'al gore and george w bush are more deadlocked than ever',bush,2000-10-04,2
gore-bush debate could decide how the us votes,bush,2000-10-04,1
gore-bush debate could decide how the us votes,gore,2000-10-04,1
gore-bush debate could decide how the us votes,bush,2000-10-04,1
"gore takes round one, but not by a knockout",gore,2000-10-05,1
dark angel and west wing lead out us season,bush,2000-10-06,3
spotlight on gore the 'fabulist',gore,2000-10-06,2
george v meddled in war decisions,george,2000-10-08,2
what happens when hague and bush lose?,bush,2000-10-09,2
how big money buys big votes in us race,bush,2000-10-10,2
bush retakes lead as voters question gore's character,bush,2000-10-12,2
bush retakes lead as voters question gore's character,gore,2000-10-12,2
bush pulls ahead after tarring gore as lover of big government,bush,2000-10-13,2
bush pulls ahead after tarring gore as lover of big government,gore,2000-10-13,2
miller gives lukewarm backing to gore,gore,2000-10-13,1
how rude! george downsizes jar jar,george,2000-10-13,1
gore and bush tiptoe through nice-guy debate,gore,2000-10-13,3
gore and bush tiptoe through nice-guy debate,bush,2000-10-13,3
how gore lost his head,gore,2000-10-16,1
"missing boy, 3, found under bush",bush,2000-10-16,2
bush's ideal day: 9 to 5 and a two-hour lunch,bush,2000-10-17,3
florida's condo commandos take aim at bush,bush,2000-10-17,2
the gore-bush debates should be a lesson to us all,bush,2000-10-19,1
the gore-bush debates should be a lesson to us all,gore,2000-10-19,1
the gore-bush debates should be a lesson to us all,bush,2000-10-19,1
"how bush is turning into reagan, and why americans love it",bush,2000-10-19,3
al gore fights for his life,gore,2000-10-19,2
sir george young,george,2000-10-20,2
i lost my heart in... the  australian bush,bush,2000-10-21,2
cautious gore at pains to muffle his master's voice,gore,2000-10-21,3
faustian pact that could scupper gore,gore,2000-10-22,1
gore told to unleash clinton,gore,2000-10-22,2
bush camp works hard to pull out california plum,bush,2000-10-23,2
by george,george,2000-10-24,2
george warns against devaluing pound,george,2000-10-24,2
this unbrave new world would be bad news for us,bush,2000-10-24,1
beleaguered gore faces battles on three fronts,gore,2000-10-24,2
14 days to go,gore,2000-10-24,2
13 days to go,gore,2000-10-25,2
no hedging - markets bet it's bush,bush,2000-10-25,1
jobs go as george defends pound,gore,2000-10-25,2
jobs go as george defends pound,george,2000-10-25,2
eyes left as gore tries to limit green appeal,gore,2000-10-25,2
gore has to battle for the home ground,gore,2000-10-26,1
12 days to go,gore,2000-10-26,3
laid-back bush leaves it to tv ads,bush,2000-10-26,3
gore finally acknowledges the clinton factor,gore,2000-10-27,2
experts finger bush as the big spender,bush,2000-10-27,2
11 days to go,gore,2000-10-27,2
the us and europe haven't managed our world too well,bush,2000-10-27,3
gore for president,gore,2000-10-28,1
